No,Player,Position,Career,No . retirement
2,Eddie Shore,D,1926-1940,"January 1 , 1947"
3,Lionel Hitchman,D,1925-1934,"February 22 , 1934"
4,Bobby Orr,D,1966-1976,"January 9 , 1979"
5,Aubrey Dit Clapper,"RW , D",1927-1947,"February 12 , 1947"
7,Phil Esposito,C,1967-1975,"December 3 , 1987"
8,Cam Neely,RW,1986-1996,"January 12 , 2004"
9,Johnny Bucyk,LW,1957-1978,"March 13 , 1980"
15,Milt Schmidt,C,1936-1955,"October 6 , 2010"
16,Rick Middleton,RW,1976-1988,"November 29 , 2018"
24,Terry O'Reilly,RW,1972-1985,"October 24 , 2002"
77,Ray Bourque,D,1979-2000,"October 4 , 2001"
