Date,Co-Hosts,Guests/Segments
April 4,Regis Philbin & Kelly Ripa,"Chris Rock , American Idol castoffs Naima Adedapo & Thia Megia"
April 5,Regis Philbin & Kelly Ripa,"Uma Thurman , Barbara Eden"
April 6,Regis Philbin & Kelly Ripa,"Jennifer Garner , Jesse Tyler Ferguson , Caroline Kennedy"
April 7,Regis Philbin & Kelly Ripa,"Jim Belushi , Ian Somerhalder , Dancing with the Stars castoffs Wendy Williams & Tony Dovolani"
April 8,Kelly Ripa & Russell Brand,"Kristin Davis , Trudie Styler"
April 11,Regis Philbin & Kelly Ripa,"Paul Reiser , Bridgit Mendler , American Idol castoff Pia Toscano"
April 12,Regis Philbin & Kelly Ripa,"Bret Michaels , Elisha Cuthbert"
April 13,Regis Philbin & Kelly Ripa,"Gwyneth Paltrow , John Larroquette"
April 14,Regis Philbin & Kelly Ripa,"Courteney Cox , Amar ' e Stoudemire , Dancing with the Stars castoffs Sugar Ray Leonard & Anna Trebunskaya"
April 15,Kelly Ripa & Mike Catherwood,David Arquette
April 18,Kelly Ripa & Seth Meyers,"Robert Pattinson , American Idol castoff Paul McDonald , New York Auto Show Week"
April 19,Kelly Ripa & Michael Strahan,"Reese Witherspoon , New York Auto Show Week"
April 20,Kelly Ripa & Christian Slater,"Ben Stiller , Christoph Waltz , New York Auto Show Week"
April 21,Kelly Ripa & Bruno Tonioli,"Kathleen Turner , Dancing with the Stars castoffs Petra Němcová & Dmitry Chaplin , New York Auto Show Week"
April 22,Kelly Ripa & Josh Groban,"Kirstie Alley , Olivia Wilde , New York Auto Show Week"
April 25,Regis Philbin & Mel B,"Mark Ruffalo , American Idol castoff Stefano Langone , Royal Wedding Week"
April 26,Regis Philbin & Kelly Ripa,"Kara DioGuardi , Royal Wedding Week"
April 27,Regis Philbin & Kelly Ripa,"Orlando Bloom , Martha Plimpton , Royal Wedding Week"
April 28,Regis Philbin & Kelly Ripa,"Alec Baldwin , Nina Dobrev , Dancing with the Stars castoffs , Royal Wedding Week"
April 29,Regis Philbin & Kelly Ripa,"Eva La Rue , Finola Hughes , Royal Wedding Week"
