Year,Title,Role
1999,She 's All That,Katarina Katie Darlingson
1999,10 Things I Hate About You,Chastity Church
2000,Love & Basketball,Shawnee
2000,Bring It On,Isis
2001,The Brothers,Denise Johnson
2001,Two Can Play That Game,Conny Spalding
2002,Abandon,Amanda Luttrell
2002,Welcome to Collinwood,Michelle
2003,Deliver Us from Eva,Evangeline Eva Dandrige
2003,Cradle 2 the Grave,Daria
2003,Bad Boys II,Special Agent Sydney Syd Burnett
2003,Ride or Die,Masked Woman
2004,Breakin ' All the Rules,Nicky Callas
2005,Neo Ned,Rachael
2005,The Honeymooners,Alice Kramden
2005,Say Uncle,Elise Carter
2006,Running with Scissors,Dorothy
2007,Constellation,Carmel Boxer
2007,Daddy 's Little Girls,Julia Rossmore
2007,The Box,Det . Cris Romano
