Name,Location ( county ),Area ( ha ),Year of establishment,Year of declaration,Website
Buila-Vânturarița,Vâlcea,"4,186",2005,2005,buila.ro
Călimani,"Mureș , Suceava , Harghita , Bistrița-Năsăud","24,041",1975,2000,calimani.ro
Ceahlău,Neamț,"7,742.5",1995,2000,ceahlaupark.ro
Cheile Bicazului-Hășmaș,"Harghita , Neamț","6,575",1990,2000,cheilebicazului-hasmas.ro
Cheile Nerei-Beușnița,Caraș-Severin,"36,758",1990,2000,cheilenereibeusnita.ro
Cozia,Vâlcea,"17,100",1966,2000,cozia.ro
Danube Delta,Tulcea,"5,762.16",1991,2000,ddbra.ro
Domogled-Valea Cernei,"Caraș-Severin , Mehedinți , Gorj","61,211",1982,2000,domogled-cerna.ro
Jiu Valley,"Gorj , Hunedoara","11,127",2005,2005,defileuljiului.ro
Măcin Mountains,Tulcea,"11,151.82",2000,2000,parcmacin.ro
Rodna Mountains,"Bistrița-Năsăud , Maramureș","47,177",1990,2000,parcrodna.ro
Piatra Craiului,"Argeș , Brașov","14,773",1938,2000,pcrai.ro
Retezat,Hunedoara,"38,047",1935,2000,retezat.ro
Semenic-Cheile Carașului,Caraș-Severin,"36,664",1982,2000,pnscc.ro
