Name,Position,Province
Billy Wallace,Back,Wellington
Albert Asher,Wing,Auckland
Duncan McGregor,Wing,Canterbury
Robert Mcgregor,Centre,Auckland
John Stalker,Centre,Otago
John ( Billy ) Stead,Five-eighth,Southland
Jimmy Duncan,Five-eighth,Otago
Morrie Wood,Five-eighth,Canterbury
Arthur Humphries,Half-back,Taranaki
Henry Kiernan,Half-back,Auckland
Loftus Armstrong,Wing forward,Wairarapa
Reuben Cooke,Loose forward,Canterbury
Bernard Fanning,Lock,Canterbury
Dave Gallaher,Hooker,Auckland
Fred Given,Flanker,Otago
Andrew Long,Forward,Auckland
Archie McMinn,Loose forward,Wairarapa
George Nicholson,Loose forward,Auckland
Harry Porteous,Forward,Otago
Jack Spencer,Loose forward,Wellington
