NM #,Monument name,Description,Townland,Location
131,Ardmore Cathedral,"Cathedral , Round Tower & Oratory",Ardmore,51°56′56″N 7°43′34″W / 51.948782°N 7.72606°W / 51.948782 ; -7.72606
384,Ballynageeragh Portal Tomb,Portal Tomb,Ballynageeragh,52°10′40″N 7°16′37″W / 52.177695°N 7.276892°W / 52.177695 ; -7.276892
330,Kiltera Ogham Stones,Ogham Stones,Dromore,52°04′28″N 7°50′56″W / 52.074442°N 7.848787°W / 52.074442 ; -7.848787
154,Drumlohan Souterrain and Ogham Stones,Souterrain & Ogham Stones,Drumlohan,52°09′48″N 7°27′55″W / 52.163319°N 7.465368°W / 52.163319 ; -7.465368
569,Dungarvan Castle,Castle,Dungarvan,52°05′21″N 7°36′58″W / 52.089277°N 7.616229°W / 52.089277 ; -7.616229
398,Gaulstown Portal Tomb,Portal Tomb,Gaulstown,52°12′21″N 7°12′38″W / 52.205853°N 7.210504°W / 52.205853 ; -7.210504
421,Knockeen Portal Tomb,Portal Tomb,Knockeen,52°12′26″N 7°09′34″W / 52.2072°N 7.1595°W / 52.2072 ; -7.1595
237,Matthewstown Passage Tomb,Passage Tomb,Matthewstown,52°10′33″N 7°13′38″W / 52.175879°N 7.227260°W / 52.175879 ; -7.227260
132,Mothel Abbey,Priory ( Augustinian ),Mothel,52°17′54″N 7°25′07″W / 52.298456°N 7.418558°W / 52.298456 ; -7.418558
671,Double Tower,Town Defences,Waterford,52°15′23″N 7°06′43″W / 52.256421°N 7.111968°W / 52.256421 ; -7.111968
661,Reginald 's Tower,Town Defences,Waterford,52°15′38″N 7°06′19″W / 52.260462°N 7.10539°W / 52.260462 ; -7.10539
205,"French Church , Waterford",Friary Church ( Franciscan ),Waterford,52°15′38″N 7°06′24″W / 52.260471°N 7.10662°W / 52.260471 ; -7.10662
