Community,Airport name,TC LID
Amherst,Amherst Heliport,CCB3
Antigonish,Antigonish ( St. Martha 's Regional Hospital ) Heliport,CDY5
Arichat,Arichat ( St. Anne Ladies Auxiliary Hospital ) Heliport,CDT3
Baddeck,Baddeck ( Guneden ) Aerodrome,CDW2
Bridgewater,Bridgewater/Dayspring Airpark,CDY6
Bridgewater,Bridgewater ( South Shore Regional Hospital ) Heliport,CDT6
Canso,Canso ( Eastern Memorial Hospital ) Heliport,CCE5
Carleton,Mink Lake Water Aerodrome,CML3
Centredale,Centredale Aerodrome,CDL8
Church Lake,Church Lake Water Aerodrome,CHL3
Debert,Debert Airport,CCQ3
Digby,Digby/Annapolis Regional Airport,
Digby,Digby ( General Hospital ) Heliport,CDG2
East Gore,East Gore Eco Airpark,CCY4
Fall River,Fall River Water Aerodrome,CFR3
Finlay,Finlay Air Park,CDH3
Fox Harbour,Fox Harbour Airport,CFH4
Greenwood,CFB Greenwood ( Greenwood Airport ),
Halifax,Halifax ( IWK Health Centre ) Heliport,CIW2
Halifax,Halifax ( QE II Health Sciences Centre ) Heliport,CHQE
