Game,Publisher,Release Date,Platform,MC score,GR score
Super Mario Galaxy,Nintendo,"November 1 , 2007",Wii,97/100,97.64%
The Orange Box,Valve,"October 10 , 2007",Xbox 360,96/100,96.36%
The Orange Box,Valve,"October 10 , 2007",Microsoft Windows,96/100,95.88%
BioShock,2K Games,"August 21 , 2007",Xbox 360,96/100,95.07%
BioShock,2K Games,"August 21 , 2007",Microsoft Windows,96/100,94.58%
Call of Duty 4 : Modern Warfare,Activision,"November 5 , 2007",Xbox 360,94/100,94.16%
Call of Duty 4 : Modern Warfare,Activision,"November 5 , 2007",PlayStation 3,94/100,93.54%
Halo 3,Microsoft Game Studios,"September 25 , 2007",Xbox 360,94/100,93.53%
The Elder Scrolls IV : Oblivion,Bethesda Softworks,"March 20 , 2007",PlayStation 3,93/100,92.98%
God of War II,Sony Computer Entertainment,"March 13 , 2007",PlayStation 2,93/100,92.68%
Galactic Civilizations II : Dark Avatar,Stardock,"February 8 , 2007",Microsoft Windows,91/100,92.61%
Team Fortress 2,Valve,"October 10 , 2007",Microsoft Windows,92/100,92.6%
Guitar Hero II,Activision,"April 3 , 2007",Xbox 360,92/100,92.3%
Call of Duty 4 : Modern Warfare,Activision,"November 5 , 2007",Microsoft Windows,92/100,92.29%
Rock Band,MTV Games,"November 20 , 2007",Xbox 360,92/100,91.97%
Rock Band,MTV Games,"November 20 , 2007",PlayStation 3,92/100,91.23%
Resident Evil 4 : Wii Edition,Capcom,"May 31 , 2007",Wii,91/100,91.59%
World of Warcraft : The Burning Crusade,Blizzard Entertainment,"January 16 , 2007",Microsoft Windows,91/100,91.48%
Mass Effect,Microsoft Game Studios,"November 20 , 2007",Xbox 360,91/100,91.24%
Crysis,Electronic Arts,"November 13 , 2007",Microsoft Windows,91/100,90.23%
