Date ( YYYY / MM / DD ),Country,Place,Deaths,Type
1965/03/30,South Vietnam,"US Embassy , Saigon",21,car bomb
1962/05/02,Algeria,Algiers,62,car bomb
1948/03/11,British Mandate for Palestine,"Jewish Agency , Jerusalem",11,car bomb
1948/03/02,British Mandate for Palestine,"Office building , Haifa",14,truck bomb
1948/02/22,British Mandate for Palestine,"Ben Yehuda Street , Jerusalem",52-80,truck bombs ( 2 )
1948/01/04,British Mandate for Palestine,Jaffa,18,truck bomb
1947/04/25,British Mandate for Palestine,"Sarona police compound , Tel Aviv",5,truck bomb
1947/01/12,British Mandate for Palestine,Haifa,4,truck bomb
1927/05/18,United States,"Bath Township , Michigan",39,suicide car bomb
1920/09/16,United States,"Wall Street , New York City",38,wagon bomb
