Year,Title,Role,Notes
2007,iCarly,Boy dancer # 4,Episode : iDream of Dance
2009,Law & Order : Criminal Intent,Cyrano,Episode : Family Values
2010,Ugly Betty,Austin Marley,5 episodes
2010,Victorious,Dancer # 1,Episode : Tori the Zombie
2010,Spark,Trudeau,Short film
2010-2011,The Good Wife,Glenn Childs Jr,2 episodes
2012,Gayby,Logan,
2012,NYC 22,Daniel Tanner,Episode : Jumpers
2013,Law & Order : Special Victims Unit,Joe Dawson,Episode : Girl Dishonored
2014,The Americans,Cook,Episode : Martial Eagle
