Title,Russian title,Director,Cast,Genre
Come Look at Me,Приходи на меня посмотреть,"Mikhail Agranovich , Oleg Yankovskiy","Oleg Yankovsky , Irina Kupchenko , Yekaterina Vasilyeva",Comedy
Down House,Даун Хаус,Roman Kachanov,"Fyodor Bondarchuk , Jerzy Stuhr , Barbara Brylska",Comedy
The Heart of the Bear,Сердце медведицы,Arvo Iho,"Rain Simmul , Dinara Drukarova , Ilyana Pavlova , Külli Teetamm",Drama
In August of 1944,В августе 44-го…,Mikhail Ptashuk,"Yevgeny Mironov , Vladislav Galkin",action
The Jewish Steppe,,Valeri Ovchinnikov,,Documentary
Journey Back to Youth,Путешествие в юность,Alexander Gutman,,Documentary
Mechanical Suite,Механическая сюита,Dmitry Meskhiev,"Mikhail Porechenkov , Sergei Garmash , Konstantin Khabensky","Comedy , drama"
Poisons or the World History of Poisoning,"Яды , или Всемирная история отравлений",Karen Shakhnazarov,"Ignat Akrachkov , Oleg Basilashvili , Zhanna Dudanova , Aleksandr Bashirov",Comedy
"Sisters , Yekaterina Gorina , Roman Ageyevas Albert Alik Murtazaev",Сестры,"Sergei Bodrov , Jr",Oksana Akinshina,Crime
Taurus,Телец,Alexander Sokurov,"Leonid Mozgovoy , Mariya Kuznetsova , Sergei Razhuk",Biopic
