Dates,Tournament,Location,Winner,Purse ( $ ),Winner 's Share ( $ )
Mar 11-14,Welch's/Fry 's Championship,Arizona,Karen Stupples ( 1 ),"800,000","120,000"
Mar 18-21,Safeway International,Arizona,Annika Sörenstam ( 49 ),"1,200,000","180,000"
Mar 25-28,Kraft Nabisco Championship,California,Grace Park ( 5 ),"1,600,000","240,000"
Apr 2-4,The Office Depot Championship,California,Annika Sörenstam ( 50 ),"1,750,000","262,500"
Apr 15-17,LPGA Takefuji Classic,Nevada,Cristie Kerr ( 2 ),"1,100,000","165,000"
Apr 29 - May 2,Chick-fil-A Charity Championship,Georgia,Jennifer Rosales ( 1 ),"1,600,000","240,000"
May 6-9,Michelob ULTRA Open at Kingsmill,Virginia,Se Ri Pak ( 22 ),"2,200,000","330,000"
May 13-16,Franklin American Mortgage Championship,Tennessee,Lorena Ochoa ( 1 ),"900,000","135,000"
May 20-23,Sybase Classic,New York,Sherri Steinhauer ( 6 ),"1,250,000","187,500"
May 27-30,LPGA Corning Classic,New York,Annika Sörenstam ( 51 ),"1,000,000","150,000"
Jun 4-6,Kellogg-Keebler Classic,Illinois,Karrie Webb ( 30 ),"1,200,000","180,000"
Jun 10-13,McDonald 's LPGA Championship,Delaware,Annika Sörenstam ( 52 ),"1,600,000","240,000"
Jun 18-20,ShopRite LPGA Classic,New Jersey,Cristie Kerr ( 3 ),"1,300,000","195,000"
Jun 24-27,Wegmans LPGA,New York,Kim Saiki ( 1 ),"1,500,000","225,000"
Jul 1-4,U.S. Women 's Open,Massachusetts,Meg Mallon ( 16 ),"3,100,000","560,000"
Jul 8-11,BMO Financial Group Canadian Women 's Open,"Ontario , Canada",Meg Mallon ( 17 ),"1,300,000","195,000"
Jul 16-18,Giant Eagle LPGA Classic,Ohio,Moira Dunn ( 1 ),"1,000,000","150,000"
Jul 21-24,Evian Masters,France,Wendy Doolan ( 3 ),"2,500,000","375,000"
Jul 28 - Aug 1,Weetabix Women 's British Open,England,Karen Stupples ( 2 ),"1,600,000","290,880"
Aug 5-8,Jamie Farr Owens Corning Classic,Ohio,Meg Mallon ( 18 ),"1,100,000","165,000"
