#,Artist,Artist 's nationality,Title
1,Las Ketchup,Spain,The Ketchup Song ( Aserejé )
2,Shakira,Colombia,"Whenever , Wherever"
3,Herbert Grönemeyer,Germany,Mensch
4,Eminem,United States,Without Me
5,Las Kanzler/Die Gerd-Show,Germany,Der Steuersong
6,Ben featuring Gim,Germany,Engel
7,Tiziano Ferro,Italy,Perdono
8,Shakira,Colombia,Underneath Your Clothes
9,B3,United States,I.O.I.O
10,Wonderwall,Germany,Just More
11,No Angels,Germany,Something About Us
12,Bro'Sis,Germany,I Believe
13,Nickelback,Canada,How You Remind Me
14,Ozzy Osbourne,United Kingdom,Dreamer
15,Nelly featuring Kelly Rowland,United States,Dilemma
16,Pink,United States,Get The Party Started
17,Mad'House,France,Like A Prayer
18,Scooter,Germany,Nessaja
19,Groove Coverage,Germany,Moonlight Shadow
20,Robbie Williams & Nicole Kidman,United Kingdom Australia / United States,Somethin ' Stupid
