N,Player,Date of birth,Batting style,Bowling style,First-class team
1,Aminul Islam ( c ),2 February 1968,Right arm,Right-arm offbreak,Biman Bangladesh Airlines
2,Akram Khan,1 November 1968,Right hand,Right-arm medium,Chittagong Division
3,Faruk Ahmed,24 July 1966,Right hand,Right-arm offbreak,Biman Bangladesh Airlines
4,Shahriar Hossain,1 June 1976,Right hand,Right-arm offbreak,Dhaka Division
5,Mehrab Hossain,22 September 1978,Right hand,Right-arm medium,Dhaka Division
6,Enamul Haque,27 February 1966,Left hand,Slow left-arm orthodox,Biman Bangladesh Airlines
7,Niamur Rashid,1 January 1975,Right hand,Right-arm medium-fast,Dhaka Metropolis
8,Naimur Rahman,9 September 1974,Right hand,Right-arm offbreak,Dhaka Division
9,Khaled Mahmud,26 July 1971,Right hand,Right-arm medium,Dhaka Division
10,Khaled Mashud ( wk ),8 February 1976,Right hand,Wicket-keeper,Rajshahi Division
11,Mohammad Rafique,5 September 1970,Left hand,Slow left arm orthodox,Sylhet Division
12,Shafiuddin Ahmed,1 June 1973,Right hand,Right-arm fast-medium,Chittagong Division
13,Hasibul Hossain,3 June 1977,Right hand,Right-arm fast-medium,Sylhet Division
14,Manjural Islam,7 November 1979,Left hand,Left-arm fast-medium,Khulna Division
15,Minhajul Abedin,25 September 1965,Right hand,Right-arm offbreak,Chittagong Division
