Frequency,Call sign,Branding,Format,Owner
AM 650,CISL,Sportsnet 650,Sports,Rogers Media
AM 690,CBU,CBC Radio One,News / talk,Canadian Broadcasting Corporation
AM 730,CHMJ,AM 730,All-traffic,Corus Entertainment
AM 980,CKNW,Global News Radio 980 CKNW,News/talk,Corus Entertainment
AM 1040,CKST,TSN Radio 1040,Sports,Bell Media
AM 1130,CKWX,News 1130,All-news,Rogers Media
AM 1200,CJRJ,Spice Radio,Multicultural,IT Productions
AM 1320,CHMB,AM1320 CHMB,Multicultural,Mainstream Broadcasting Corporation
AM 1410,CFTE,BNN Bloomberg Radio 1410,Business news,Bell Media
AM 1470,CJVB,Fairchild Radio,Multicultural,Fairchild Radio
AM 1550,KRPI,Sher E Punjab,Multicultural,BBC Broadcasting
AM 1600,KVRI,Radio India,Multicultural,Multicultural Broadcasting
FM 88.1,CBU-2-FM,CBC Radio One,News/talk,Canadian Broadcasting Corporation
FM 88.7,CHNW-FM,CHNW,Emergency information,
FM 88.9,VF2521,,Tourist information,Cameron Bell Consultancy
FM 89.3,CFVT-FM,Vancouver Tourist Radio,Tourist information,Paul Sander
FM 90.1,CJSF-FM,CJSF 90.1 FM,Campus radio,Simon Fraser University
FM 90.9,CBUX-FM,Ici Musique,Public music,Canadian Broadcasting Corporation
FM 93.1,CKYE-FM,Red FM,Multicultural,South Asian Broadcasting Corporation
FM 93.7,CJJR-FM,JRfm,Country music,Jim Pattison Group
