Player,Year,Round,Team,Position
Gavin Wallace,2017,15,Pittsburgh Pirates,RHP
Mike Wallace,2015,30,Pittsburgh Pirates,RHP
Mark Bordonaro,2012,25,Seattle Mariners,RHP
Rob Gariano,2010,36,San Diego Padres,RHP
Ryan Holsten,2001,22,Arizona Diamondbacks,RHP
Drew Larned,1998,23,Boston Red Sox,C
James Manias,1996,25,Tampa Bay Rays,LHP
William Albino,1982,20,Cincinnati Reds,OF
Alberto Zappala,1982,30,Minnesota Twins,INF
Ron Carapezzi,1981,31,Cincinnati Reds,3B
Keefe Cato,1979,2,Cincinnati Reds,RHP
Mike Behudian,1979,14,Texas Rangers,2B
Frank Gill,1977,12,Boston Red Sox,2B
Robert Kownacki,1976,8,Los Angeles Dodgers,SS
Michael Yates,1973,23,Atlanta Braves,RHP
Thomas Finch,1971,14,Minnesota Twins,C
Stan Norman,1970,26,Cincinnati Reds,OF
