Season,Player,School,Position,Class
1984-85,Roy Tarpley,Michigan,PF / C,Junior
1985-86,Scott Skiles,Michigan State,PG,Senior
1986-87,Dennis Hopson,Ohio State,SF,Senior
1987-88,Gary Grant,Michigan,PG,Senior
1988-89,Jay Edwards,Indiana,SG,Sophomore
1988-89,Glen Rice,Michigan,SG / SF,Senior
1989-90,Steve Scheffler,Purdue,C,Senior
1990-91,Jim Jackson,Ohio State,SG,Sophomore
1991-92,Jim Jackson * ( 2 ),Ohio State,SG,Junior
1992-93,Calbert Cheaney *,Indiana,SF,Senior
1993-94,Glenn Robinson *,Purdue,SF,Sophomore
1994-95,Shawn Respert *,Michigan State,SG,Senior
1995-96,Brian Evans,Indiana,PF,Senior
1996-97,Bobby Jackson,Minnesota,PG,Senior
1997-98,Mateen Cleaves,Michigan State,PG,Sophomore
1998-99,Mateen Cleaves ( 2 ),Michigan State,PG,Junior
1998-99,Scoonie Penn,Ohio State,PG,Junior
1999-00,A. J. Guyton,Indiana,SG,Senior
1999-00,Morris Peterson,Michigan State,SF,Senior
2000-01,Frank Williams,Illinois,PG,Sophomore
