Title,Publisher,Developer ( s ),Release Date,ESRB
Super Mario Bros,Nintendo,Nintendo EAD,"February 16 , 2012",E
Metroid,Nintendo,Nintendo R & D1,"March 1 , 2012",E
Punch-Out ! !,Nintendo,Nintendo R & D3,"March 8 , 2012",E
Donkey Kong Jr,Nintendo,"Nintendo R & D1 , Nintendo R & D2","June 14 , 2012",E
The Legend of Zelda,Nintendo,Nintendo EAD,"July 5 , 2012",E
NES Open Tournament Golf,Nintendo,Nintendo R & D2,"July 5 , 2012",E
Gradius,Konami,Konami,"October 18 , 2012",E
Ghosts ' n Goblins,Capcom,Micronics,"October 25 , 2012",E
Zelda II : The Adventure of Link,Nintendo,Nintendo,"November 22 , 2012",E
Pac-Man,Bandai Namco,Bandai Namco,"November 29 , 2012",E
Mighty Bomb Jack,Koei Tecmo,Koei Tecmo,"December 6 , 2012",E
Ninja Gaiden,Koei Tecmo,Koei Tecmo,"December 13 , 2012",E
Super Mario Bros. : The Lost Levels,Nintendo,Nintendo EAD,"December 27 , 2012",E
Mega Man,Capcom,Capcom,"December 27 , 2012",E
Super C,Konami,Konami,"January 24 , 2013",E
Ice Climber,Nintendo,Nintendo,"January 31 , 2013",E
Mega Man 2,Capcom,Capcom,"February 7 , 2013",E
Dig Dug,Bandai Namco,Bandai Namco,"February 14 , 2013",E
Yoshi,Nintendo,Game Freak,"February 21 , 2013",E
Wrecking Crew,Nintendo,Nintendo,"March 7 , 2013",E
