Season,Date,Location,Discipline,Place
2011,19 Dec 2010,"Alta Badia , Italy",Giant slalom,3rd
2011,8 Jan 2011,"Adelboden , Switzerland",Giant slalom,3rd
2013,16 Dec 2012,"Alta Badia , Italy",Giant slalom,3rd
2014,14 Dec 2013,"Val-d'Isère , France",Giant slalom,2nd
2014,12 Jan 2014,"Adelboden , Switzerland",Giant slalom,2nd
2015,21 Dec 2014,"Alta Badia , Italy",Giant slalom,3rd
2015,14 Mar 2015,"Kranjska Gora , Slovenia",Giant slalom,3rd
2015,21 Mar 2015,"Méribel , France",Giant slalom,3rd
2016,25 Oct 2015,"Sölden , Austria",Giant slalom,2nd
2016,26 Feb 2016,"Hinterstoder , Austria",Giant slalom,3rd
2016,19 Mar 2016,"St. Moritz , Switzerland",Giant slalom,1st
2019,16 Dec 2018,"Alta Badia , Italy",Giant slalom,2nd
2019,12 Jan 2019,"Adelboden , Switzerland",Giant slalom,3rd
2019,24 Feb 2019,"Bansko , Bulgaria",Giant slalom,3rd
