Date,Co-hosts,Guests/segments
November 1,Regis Philbin & Kelly Ripa,"Billy Crystal , Mike Wallace"
November 2,Regis Philbin & Kelly Ripa,"Terrence Howard , Philip Seymour Hoffman , Kirk Franklin"
November 3,Regis Philbin & Kelly Ripa,James Spader
November 4,Regis Philbin & Kelly Ripa,Jake Gyllenhaal
November 7,Regis Philbin & Kelly Ripa,"Josh Duhamel , Simon Cowell"
November 8,Regis Philbin & Kelly Ripa,"50 Cent , Peter Gallagher"
November 9,Regis Philbin & Kelly Ripa,"Melina Kanakaredes , LeAnn Rimes , Keira Knightley"
November 10,Regis Philbin & Kelly Ripa,"Robert Downey Jr. , Carrot Top , Daniel Radcliffe"
November 11,Regis Philbin & Kelly Ripa,"Steve Martin , Nicole Richie , Anderson Cooper"
November 14,Regis Philbin & Kelly Ripa,"Richard Gere , Donald Sutherland , Joy Philbin"
November 15,Regis Philbin & Kelly Ripa,"Reese Witherspoon , Emma Watson"
November 16,Regis Philbin & Kelly Ripa,"Joaquin Phoenix , Jesse L. Martin"
November 17,Regis Philbin & Kelly Ripa,Rosario Dawson
November 18,Regis Philbin & Kelly Ripa,Patricia Arquette
November 21,Regis Philbin & Kelly Ripa,"Usher , Alanis Morissette"
November 22,Regis Philbin & Kelly Ripa,"Judy Sheindlin , Bradley Cooper"
November 23,Regis Philbin & Kelly Ripa,"A Seinfeld reunion featuring Jerry Seinfeld , Julia Louis-Dreyfus , Jason Alexander and Michael Richards"
November 25,Regis Philbin & Kelly Ripa,"Lake Bell , John Leguizamo , Jeff Garlin"
November 28,Regis Philbin & Kelly Ripa,"Felicity Huffman , Carl Edwards"
November 29,Regis Philbin & Kelly Ripa,"Barbara Walters , Tom Arnold , Scott Stapp"
