Rank in 2017,Club,Revenue ( € million ),Country,Rank in 2016,Change
1,Manchester United,689.0,England,3,+2
2,Barcelona,620.2,Spain,2,-
3,Real Madrid,620.1,Spain,1,−2
4,Bayern Munich,592.0,Germany,5,+1
5,Manchester City,524.9,England,6,+1
6,Paris Saint - Germain,520.9,France,4,−2
7,Arsenal,468.5,England,7,-
8,Chelsea,447.4,England,8,-
9,Liverpool,403.8,England,9,-
10,Juventus,341.1,Italy,10,-
11,Borussia Dortmund,283.9,Germany,11,-
12,Tottenham Hotspur,279.7,England,12,-
13,Atlético Madrid,228.6,Spain,15,+2
14,Schalke 04,224.5,Germany,13,−1
15,Roma,218.2,Italy,16,+1
16,Milan,214.7,Italy,14,−2
17,Zenit Saint Petersburg,196.5,Russia,31+,
18,West Ham United,192.3,England,20,+2
19,Internazionale,179.2,Italy,19,-
20,Leicester City,172.1,England,24,+4
