Name,Class,1st departure,2nd departure
Tirpitz,Bismarck -class battleship,2 July 1942,5 July 1942
Admiral Hipper,Admiral Hipper -class cruiser,2 July 1942,5 July 1942
Z14 Friedrich Ihn,Type 1934A destroyer,2 July 1942,5 July 1942
Z10 Hans Lody,Type 1934A destroyer,2 July 1942,N/A
Z20 Karl Galster,Type 1936 destroyer,2 July 1942,N/A
Z06 Z6 Theodor Riedel,Type 1934A destroyer,2 July 1942,N/A
Z04 Z4 Richard Beitzen,Type 1934 destroyer,?,5 July 1942
T07 T7,Type 35 torpedo boat,2 July 1942,5 July 1942
T15,Type 37 torpedo boat,2 July 1942,5 July 1942
Lützow,Deutschland -class cruiser,3 July 1942,N/A
Admiral Scheer,Deutschland -class cruiser,3 July 1942,5 July 1942
Z24,Type 1936A destroyer,3 July 1942,5 July 1942
Z27,Type 1936A destroyer,3 July 1942,5 July 1942
Z28,Type 1936A destroyer,3 July 1942,5 July 1942
Z29,Type 1936A destroyer,3 July 1942,5 July 1942
Z30,Type 1936A destroyer,3 July 1942,5 July 1942
Dithmarschen,Oiler,3 July 1942,N/A
