Site Name Alternative name ( s ),Constructed,Scheduling Number,Listed building grade,Location or parish,Description
Barrington Court,1550s,-,I,Barrington 50°57′42″N 2°51′36″W / 50.9616°N 2.8599°W / 50.9616 ; -2.8599 ( Barrington Court ),"Barrington Court is a Tudor manor house begun around 1538 and completed in the late 1550s , with a vernacular 17th century stable court . After repair by Alfred Hoare Powell , it was the first house acquired by the National Trust , in 1907 , on the recommendation of the antiquarian Canon Hardwicke Rawnsley . In the 1920s the house was renovated , the stable block turned into a residence and several outbuildings , gardens and gateways constructed . The surrounding medieval deerpark and 17th century formal garden had largely disappeared until a new garden was laid out by Gertrude Jekyll in an Arts and Crafts -style in the first half of the 20th century"
Bath Assembly Rooms,1769-1771,-,I,Bath 51°23′12″N 2°21′49″W / 51.3866°N 2.3636°W / 51.3866 ; -2.3636 ( Bath Assembly Rooms ),"The Bath Assembly Rooms , designed by John Wood , the Younger , in 1769 , are a set of elegant assembly rooms located in the heart of the World Heritage City of Bath which are now open to the public . There are four main function rooms in the complex : the 100-foot-long ( 30 m ) ballroom - the largest Georgian interior in Bath ; the tea room ; the card room ; and the octagon"
Brean Down,-,1008211,-,Mendip Hills 51°19′31″N 3°01′36″W / 51.3254°N 3.0266°W / 51.3254 ; -3.0266 ( Brean Down ),"Brean Down is a promontory from the coast standing 320 feet ( 98 m ) high and extending 1.5 miles ( 2 km ) into the Bristol Channel at the eastern end of Bridgwater Bay between Weston-super-Mare and Burnham-on-Sea . Made of Carboniferous Limestone , it is a continuation of the Mendip Hills and has exposed steep cliffs . It is rich in wildlife , history and archaeology . It is a Site of Special Scientific Interest . The earliest recorded settlement is from the Early to Middle Bronze Age . Brean Down Fort was built in 1865 as one of the Palmerston Forts to provide protection to the ports of the Bristol Channel . The fort was decommissioned in 1901 . During World War II it was rearmed and used for experimental weapons testing . The site has been owned by the National Trust since 2002 after which they instituted a £431,000 renovation project"
Bruton Dovecote,16th century,50820,II*,Bruton 51°06′29″N 2°27′11″W / 51.1081°N 2.4531°W / 51.1081 ; -2.4531 ( Bruton Dovecote ),"The Bruton Dovecote was built in the 16th century . It was at one time used as a house , possibly as a watchtower and as a dovecote . The building was once within the deerpark of Bruton Abbey and was adapted by the monks from a gabled Tudor tower . The conversion to be a dovecote took place around 1780 . It has over 200 pigeon holes . The square tower was built of local stone with Doulting stone dressings . Although it is now a roofless ruin and some of the windows have been blocked up , it previously had a chimney and the fireplace can still be seen . The National Trust acquired the freehold from Sir Henry Hugh Arthur Hoare of the Hoare baronets whose family seat was at Stourhead , in 1915"
Burrow Mump,-,-,II*,Burrowbridge 51°04′06″N 2°55′14″W / 51.0684°N 2.9205°W / 51.0684 ; -2.9205 ( Burrow Mump ),"Burrow Mump is a hill and historic site overlooking Southlake Moor in the village of Burrowbridge . Burrow Mump is also known as St Michael 's Borough or Tutteyate . The hill and ruined roofless nave , with the remains of the porch and some window openings , were presented , in 1946 , by Major Alexander Gould Barrett , to the National Trust and serve as a memorial to the 11,281 Somerset men who lost their lives during the first and second world wars"
Cadbury Camp,-,195367,-,Tickenham 51°26′47″N 2°47′17″W / 51.4463°N 2.7880°W / 51.4463 ; -2.7880 ( Cadbury Camp ),"Cadbury Camp is an Iron Age hill fort . Local legends associate it with Arthurian England and Camelot , though these may be due to confusion with the better-known Cadbury Castle , near South Cadbury , some 50 miles ( 80 km ) to the south . The hill fort is well preserved , and is managed by the National Trust"
Cheddar Gorge,-,-,-,Cheddar 51°16′58″N 2°46′00″W / 51.2829°N 2.7668°W / 51.2829 ; -2.7668 ( Cheddar Gorge ),"Cheddar Gorge is a limestone gorge in the Mendip Hills . The gorge is the site of the Gough 's Cave , where Britain 's oldest complete human skeleton , Cheddar Man , estimated to be over 9,000 years old , was found in 1903 . Older remains from the Upper Late Palaeolithic era ( 12,000-13,000 years ago ) have been found . The caves , produced by the activity of an underground river , the Cheddar Yeo , contain stalactites and stalagmites . Cheddar Gorge , including the caves and other attractions , has become a tourist destination attracting about 500,000 visitors per year"
Clevedon Court,14th century,-,I,Clevedon 51°26′27″N 2°50′01″W / 51.4407°N 2.8335°W / 51.4407 ; -2.8335 ( Clevedon Court ),"Clevedon Court is a manor house , dating from the early 14th century . The great hall and chapel block are the earliest surviving parts of the structure with the west wing being added around 1570 , when the windows and decoration of the rest of the building were changed . Further construction and adaptation was undertaken in the 18th century when it was owned by the Elton baronets . The house was acquired by the nation and was given to the National Trust in part-payment for death duties in 1960 . The Elton family is still resident in the house , which is now open to the public . In addition to the main house , the grounds include a selection of walls and outbuildings , some of which date back to the 13th century . The gardens are listed ( Grade II* ) on the Register of Historic Parks and Gardens of special historic interest in England"
Coleridge Cottage,17th century,-,II*,Nether Stowey 51°09′08″N 3°09′13″W / 51.1521°N 3.1537°W / 51.1521 ; -3.1537 ( Coleridge Cottage ),"Coleridge Cottage is a cottage constructed in the 17th century . It contains a parlour , kitchen and service room on the ground floor and three bed chambers above . The poet Samuel Taylor Coleridge lived at the cottage for three years from 1797 while writing This Lime-Tree Bower My Prison , The Rime of the Ancient Mariner , part of Christabel , and Frost at Midnight . The cottage was refurbished in 1800 . Having served for many years as 'Moore 's Coleridge Cottage Inn ' , the building was acquired for the nation in 1908 , and the following year it was handed over to the National Trust . In 2011 the Friends of Coleridge and the National Trust carried out redevelopment of the site"
Crook Peak to Shute Shelve Hill,-,-,-,Mendip Hills 51°17′43″N 2°52′53″W / 51.2952°N 2.8814°W / 51.2952 ; -2.8814 ( Crook Peak to Shute Shelve Hill ),"Crook Peak to Shute Shelve Hill is a 332.2 hectares ( 821 acres ) geological and biological Site of Special Scientific Interest near the western end of the Mendip Hills , notified in 1952 . Shute Shelve Hill , which is formed of Carboniferous Limestone laid down in the Lower Carboniferous period about 350 million years ago , rises to 233 metres ( 764 ft ) above sea level . The site extends for some 5 kilometres ( 3.1 mi ) from west to east . This site comprises a wide range of habitats which includes ancient and secondary semi-natural broadleaved woodland , unimproved calcareous grassland and a complex mosaic of calcareous grassland and acidic dry dwarf-shrub heath . There are cave deposits of interest at the southern end of Crook Peak . Picken 's Hole is of considerable importance because of its clear , well-stratified sequence of deposits and faunas , all dating from within the last Ice Age"
Dolebury Warren,-,-,-,Churchill / Rowberrow 51°19′39″N 2°47′01″W / 51.32747°N 2.78358°W / 51.32747 ; -2.78358 ( Dolebury Warren ),"Dolebury Warren is a 90.6 hectare biological Site of Special Scientific Interest ( SSSI ) near the villages of Churchill and Rowberrow in North Somerset , notified in 1952 . It is owned by the National Trust , who acquired the freehold in 1983 and managed by the Avon Wildlife Trust . There is evidence of occupation of the site during the Iron Age and as a medieval/post medieval rabbit warren"
Dovecot at Blackford Farm,11th century,1345406,II*,Selworthy 51°11′48″N 3°32′25″W / 51.1967°N 3.5403°W / 51.1967 ; -3.5403 ( Dovecot at Blackford Farm ),"The Dovecot At Blackford Farm was built in the 11th century . It was attached to a mansion house which burnt down in 1875 . The dovecote which forms part of the property of the Holnicote Estate , was donated to the National Trust by Sir Richard Thomas Dyke Acland , 15th Baronet in 1944"
Dunster Castle,11th century,-,I,Dunster 51°10′49″N 3°26′37″W / 51.1804°N 3.4437°W / 51.1804 ; -3.4437 ( Dunster Castle ),"Dunster Castle is a former motte-and-bailey castle , now a country house . The castle lies on the top of a steep hill called the Tor , which has been fortified since the late Anglo-Saxon period . After the Norman conquest of England in the 11th century , William de Mohun constructed a timber castle on the site as part of the pacification of Somerset . A stone shell keep was built on the motte by the start of the 12th century . At the end of the 14th century the de Mohuns sold the castle to the Luttrell family , who continued to occupy the property until the late 20th century . The medieval castle walls were mostly destroyed following a siege at the end of the English Civil War . In the 1860s and 1870s , the architect Anthony Salvin was employed to remodel the castle to fit Victorian tastes . Following the death of Alexander Luttrell in 1944 , the family was unable to afford the death duties on his estate and sold the castle and surrounding lands . The Luttrells bought back the castle in 1954 , but in 1976 Colonel Walter Luttrell gave it and most of its contents to the National Trust"
Dunster Working Watermill,c. 1780,-,II,Dunster 51°10′57″N 3°26′45″W / 51.1825°N 3.4459°W / 51.1825 ; -3.4459 ( Dunster Castle ),"The Working Watermill ( also known as Castle Mill ) is a restored 18th century watermill , situated on the River Avill , in the grounds of Dunster Castle . The present mill , which was built around 1780 , is on the site of a mill mentioned in the Domesday Book . It was restored to working order in 1979 . The mill is still used to grind wheat flour"
Ebbor Gorge,-,-,-,Mendip Hills 51°14′02″N 2°40′55″W / 51.234°N 2.682°W / 51.234 ; -2.682 ( Ebbor Gorge ),"Ebbor Gorge is a limestone gorge in the Mendip Hills , close to Wells . It was designated as a 63.5-hectare ( 157-acre ) biological Site of Special Scientific Interest in 1952 . A 40-hectare ( 99-acre ) area of the gorge is owned by the National Trust , and managed by Natural England as a National Nature Reserve . There are three marked trails of varying lengths around the steeply wooded gorge . Various caves within the gorge were inhabited by neolithic people . The site is close to Wookey Hole village and caves and offers views across the Somerset Levels to Glastonbury Tor and beyond . The land was donated to the National Trust by Mrs G.W . Hodkinson in memory of Winston Churchill"
Fyne Court,-,-,-,Broomfield 51°04′50″N 3°06′51″W / 51.0806°N 3.1143°W / 51.0806 ; -3.1143 ( Fyne Court ),"Fyne Court is a nature reserve set in parkland which was originally the pleasure grounds of a large house belonging to pioneer 19th century electrician , Andrew Crosse , whose family had owned the house from its construction . The house burnt down in 1898 . Fyne Court has been in the ownership of the National Trust since 1967 and was used as the headquarters of the Somerset Wildlife Trust . The Quantock Hills Area of Outstanding Natural Beauty Service have their headquarters in the grounds . Much of the landscaping , including an arboretum laid out in 1780 , has become overgrown and now provides varied habitats including broadleaved woodland , ponds and meadows grazed by highland cattle . The site is home to over 100 species of fungi and some rare invertebrates"
Glastonbury Tor,-,196702,-,Glastonbury 51°08′36″N 2°41′57″W / 51.1433°N 2.6992°W / 51.1433 ; -2.6992 ( Glastonbury Tor ),"Glastonbury Tor is a hill which features the roofless St. Michael 's Tower . The Tor has a striking location in the middle of a plain called the Summerland Meadows , part of the Somerset Levels . The plain is actually reclaimed fenland out of which the Tor once rose like an island but now is a peninsula washed on three sides by the River Brue . The remains of Glastonbury Lake Village nearby were identified in 1892 , showing that there was an Iron Age settlement about 300-200 BC on what was an easily defended island in the fens . Earthworks and Roman remains prove later occupation . The spot seems to have been called Ynys yr Afalon ( meaning The Isle of Avalon ) by the Britons , and it is believed by some to be the Avalon of Arthurian legend"
