Company,Headquarters,ICB Sector,Ticker
AD Plastik,Solin,Chemicals,ADPL
Adris Group,Rovinj,Tobacco,ADRS
Atlantic Group,Zagreb,Conglomerate,ATGR
Atlantska plovidba,Dubrovnik,Marine transportation,ATPL
Belje,Darda,Food products,BLJE
Đuro Đaković Holding,Slavonski Brod,,DDJH
Dalekovod,Zagreb,,DLKV
Ericsson Nikola Tesla,Zagreb,Telecommunications equipment,ERNT
HT,Zagreb,Telecommunications,HT
INA,Zagreb,,INA
INGRA,Zagreb,Heavy construction,INGR
Končar,Zagreb,Industrial machinery,KOEI
Valamar Adria Holding,Zagreb,,KORF
Kraš,Zagreb,Food products,KRAS
Ledo,Zagreb,Food products,LEDO
Luka Rijeka,Rijeka,,LKRI
Podravka,Koprivnica,Food products,PODR
Petrokemija,Kutina,Specialty chemicals,PTKM
Tehnika,Zagreb,,THNK
Uljanik plovidba,Pula,,ULPL
