Player,Team,Years,Comments
Avery Blake Sr,Swarthmore,1931-1969,Long time Swarthmore - Pennsylvania coach . Coached Swarthmore 1953 squad to USILA Class B National title . Blake Sr. and Blake Jr. are both in National Lacrosse Hall of Fame
Avery Blake Jr,Swarthmore,1950-1953,"Two time 1st team All American midfield and attack , first 4-time lacrosse All-American from Pennsylvania . Avery Blake Sr. , long-time coach at Swarthmore and Penn , as well as Blake Jr. are both in National Lacrosse Hall of Fame"
Kyle Barrie,Johns Hopkins,2002-2005,Two time All-American at attack . Key contributor on 2003 Hopkins ' finals team . Won national title in 2005 with Johns Hopkins . Among Hopkins all-time leading scorers . Prep All American at The Haverford School
Eric Bishop,Salisbury,2004-2007,"1st team All-American at attack . Key contributor on 2004 , 2005 and 2007 championship teams . Prep All American at Penncrest High School . Assistant coach at Swarthmore"
Karen Emas Borbee,Delaware,1980-1983,"3 time All American at University of Delaware . Led Delaware to Championships in 1981 , 1982 , and 1983 . Prep star at Penncrest High School"
Johnny Christmas,Virginia,2002-2005,2 time All-American attackman . Key contributor to the 2003 Virginia national title and 2005 Final Four teams . Prep All American at Lower Merion
Brian Christopher,Johns Hopkins,2006-2009,All-American midfielder and key contributor to 2007 Johns Hopkins national title team . Prep All-American at Springfield High School
Ken Clausen,Virginia,2007-2010,3 time 1st team All-American defenseman . Led UVA to 3 straight national semi-finals . Prep All American at The Hill School
Ralph Rip Davy,North Carolina,1976-1979,"1st team All-American defenseman playing under Willie Scroggs , helped develop UNC lacrosse into national power . UNC 's first ever 1st team Division I All-American . Prep star at The Hill School"
Brian Dougherty,Maryland,1993-1996,Two-time 1st team All-American and two-time NCAA Goaltender of the Year . Named 1995 NCAA Championship Outstanding Player leading Terps to finals . Prep All American at Episcopal Academy
Tucker Durkin,Johns Hopkins,2010-2014,"3 time All-American , 2 time 1st team All American , key to defensive unit that led Hopkins to two NCAA Quarterfinals in 2011 and 2012 . Prep All American at La Salle College High School"
James Ferguson,Johns Hopkins,1971-1973,"2 time All-American , key to defensive unit that led Hopkins to NCAA Finals in 1972 and 1973 under legendary coach Bob Scott . Prep All American at Lower Merion , one of the first PA Prep stars to play on top tier college lacrosse program"
Dennis Fink,Drexel,1976-1978,"All-American attackman , led nation in scoring in his senior season with 98 points . Among NCAA Division I all-time leading scorers , 1st all-time in single season points-per-game . Prep star at Springfield High School"
Candy Finn,Penn State,1979-1982,"3 time All-American led the Nittany Lions in scoring in each of her four years ( 1979-1982 ) , with two USWLA national championships . Holds Penn State record for goals scored in a game ( 14 ) . Ranks second in career points ( 334 ) and career goals ( 265 ) for PSU . Three sport prep star at Penncrest High School"
Chris Flynn,Penn,1986-89,"1st team All-American midfielder . Prep All-American at Episcopal Academy . Key contributor to Philadelphia Wings from 1990 to 1999 , including four NLL championship"
Kathleen Geiger,Temple,1983-1986,"2 time All American , 1st team All American in 1985 . Led Temple to Championship in 1984 . Prep star at Lansdowne-Aldan High School"
John Haldy,Virginia,2008-2011,Key contributor to 3 straight national semifinal teams and captain of the 2011 Virginia national title team . Prep All-American at The Haverford School
George A. Kruse,Kutztown,1975-77,"All- American attack and longtime lacrosse official . Among all-time leading Division II scorers . From 1975 to 1977 averaged 7.9 points per game , which is 1st all time in Division II"
Kurt Lunkenheimer,Princeton,1995-1998,"2 time All-American Defenseman on 1996 , 1997 and 1998 national title teams . Prep All-American at Episcopal Academy"
Jeff MacBean,Princeton,1993-1996,All-Ivy midfielder on 1994 and 1996 national title teams . Overtime assist to Kevin Lowe in 1994 finals gave Princeton the title . Prep All-American at Episcopal Academy
