Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,John James,P,Florida,SEC
Baltimore Colts,Nelson Munsey,CB,Wyoming,WAC
Dallas Cowboys,Benny Barnes,CB,Stanford,Pac-8
Denver Broncos,Mike Ernst,QB,Cal State Fullerton,CCAA
Green Bay Packers,Bob Kroll,CB,Northern Michigan,Ind . ( Coll . )
Houston Oilers,Rich Lewis,LB,Portland State,Ind . ( Coll . )
Miami Dolphins,Maulty Moore,DT,Bethune-Cookman,SIAC
New England Patriots,Sam Adams,G,Prairie View A & M,SWAC
New England Patriots,Dick Blanchard,LB,Tulsa,MVC
New York Giants,Chuck Crist,S,Penn State,Ind
Pittsburgh Steelers,Barry Pearson,WR,Northwestern,Big Ten
Washington Redskins,Duane Carrell,P,Florida State,Ind
Washington Redskins,Herb Mul-Key,RB,Alabama State,SIAC
