Film,Year,Vessel or Class
Five Easy Pieces,1970,Mill Bay
Food of the Gods,1976,Howe Sound Queen
The Other Side of the Mountain,1978,Queen of Victoria
Shoot To Kill,1988,Queen of Vancouver
Bird On A Wire,1990,Queen of Burnaby or Queen of Nanaimo
Another Stakeout,1993,Powell River Class
Mr. Magoo,1997,Queen of Esquimalt
Disturbing Behavior,1998,Queen of Capilano
Double Jeopardy,1999,Quadra Queen II
Black Point,2002,Mill Bay
Scary Movie 3,2003,Powell River Class
Battlestar Galactica miniseries,2003,V-Class
Walking Tall,2004,Albert J Savoie
Elektra,2005,Albert J Savoie
The Mermaid Chair,2006,Mill Bay
The Suite Life Movie,2011,Northern Expedition
The Killing,2012,Queen of Capilano
