No,Results,Stipulations
1,Sensei and Tigre Blanco defeated Los Hombres del Camoflaje ( Artillero and Super Comando ),Best two out of three falls Tag team match
2,"Los Guerreros Tuareg ( Arkangel de la Muerte , Nitro and Skándalo ) defeated Ángel Azteca , Jr. , Dragon Lee and Rey Cometa",Six-man tag team match
3,"Misterioso Jr. , Okumura and Vangelis defeated Sagrado , Fuego and Sangre Azteca",Six-man tag team match
4,"La Mascara and Valiente defeated Euforia , Kraneo , Máscara Dorada , Máximo , Mr. Águila and Mr. Niebla",Torneo Nacional De Parejas Increibles seeding Battle royal
5,Máscara Dorada and Volador Jr. defeated Euforia and Guerrero Maya Jr,Torneo Nacional De Parejas Increibles 2012 first round Match
6,La Sombra and Mr. Águila defeated Maximo and Mephisto,Torneo Nacional De Parejas Increibles 2012 first round Match
7,Atlantis and Mr. Niebla defeated Brazo de Plata and Kraneo,Torneo Nacional De Parejas Increibles 2012 first round Match
8,Averno and La Mascara defeated Olímpico and Valiente,Torneo Nacional De Parejas Increibles 2012 first round Match
9,La Sombra and Mr. Águila defeated Máscara Dorada and Volador Jr,Torneo Nacional De Parejas Increibles 2012 quarterfinal Match
10,Atlantis and Mr. Niebla defeated Averno and La Mascara,Torneo Nacional De Parejas Increibles 2012 First quarterfinal Match
11,Atlantis and Mr. Niebla defeated La Sombra and Mr. Águila,Torneo Nacional De Parejas Increibles 2012 semifinal Match
