Company,Type,Cat,Ministry,Sector
Argentum Fondsinvesteringer,AS,1,Trade and Industry,Venture capital
Avinor,AS,4,Transport and Communications,Airport operation and airspace control
Baneservice,AS,1,Transport and Communications,Maintenance of railway infrastructure
Bjørnøen,AS,4,Trade and Industry,Real estate
Central Norway Regional Health Authority,RHF,-,Health and Care Services,Healthcare
Eksportutvalget For Fisk,AS,-,Fisheries and Coastal Affairs,Marketing
Electronic Chart Centre,AS,3,Trade and Industry,Cartography
Enova,SF,4,Petroleum and Energy,Marketing
Entra Eiendom,AS,1,Trade and Industry,Real estate
Flytoget,AS,1,Trade and Industry,Railway company
Gassco,AS,4,Petroleum and Energy,Natural gas pipes
Gassnova,SF,4,Petroleum and Energy,Research
Industrial Development Corporation of Norway,SF,4,Trade and Industry,Industry
Innovation Norway,AS,4,Trade and Industry,Innovation
Kompetansesenter for IT i helse- og sosialsektoren,AS,4,Health and Care Services,Information technology
Kings Bay,AS,4,Trade and Industry,Research
Mesta,AS,1,Trade and Industry,Road construction and maintenance
Nationaltheatret,AS,-,Culture and Church Affairs,Theater
Nofima,AS,-,Fisheries and Coastal Affairs,Research
Norfund,AS,4,Foreign Affairs,Investments in developing countries
