Dance,Best dancer,Best score,Worst dancer,Worst score
Cha Cha Cha,Marjan Shaki,34,Biko Botowamungu,13
Disco,Marjan Shaki,39,Rainer Schönfelder,24
Foxtrot,Lukas Perman Marjan Shaki,34,Monika Salzer Biko Botowamungu,13
Jitterbug,Rainer Schönfelder Lukas Perman,38,Angelika Ahrens,30
Jive,Susanna Hirschler,31,Katharina Gutensohn Rudi Roubinek,17
Paso Doble,Rainer Schönfelder,37,Biko Botowamungu,12
Quickstep,Rainer Schönfelder,33,Doris Schretzmayer,16
Rumba,Rainer Schönfelder,31,Monika Salzer,12
Samba,Angelika Ahrens Lukas Perman,33,Biko Botowamungu,13
Tango,Angelika Ahrens,31,Biko Botowamungu,12
Viennese Waltz,Marjan Shaki,35,Gerald Pichowetz Rudi Roubinek Biko Botowamungu,17
Waltz,Lukas Perman,34,Biko Botowamungu,10
