Scientific name,Common name,Family,Conservation concern
Ambystoma cingulatum,flatwoods salamander,Ambystomatidae,Possibly extirpated/ U.S . Fish and Wildlife lists as threatened
Ambystoma maculatum,spotted salamander,Ambystomatidae,Low
Ambystoma opacum,marbled salamander,Ambystomatidae,Low
Ambystoma talpoideum,mole salamander,Ambystomatidae,Low
Ambystoma texanum,smallmouth salamander,Ambystomatidae,Moderate
Ambystoma tigrinum,eastern tiger salamander,Ambystomatidae,Moderate
Amphiuma means,two-toed amphiuma,Amphiumidae,Low
Amphiuma pholeter,one-toed amphiuma,Amphiumidae,High
Amphiuma tridactylum,three-toed amphiuma,Amphiumidae,Low
Cryptobranchus alleganiensis alleganiensis,hellbender,Cryptobranchidae,Highest
Aneides aeneus,green salamander,Plethodontidae,High
Desmognathus aeneus,seepage salamander,Plethodontidae,High
Desmognathus apalachicolae,Apalachicola dusky salamander,Plethodontidae,Lowest
Desmognathus auriculatus,southern dusky salamander,Plethodontidae,Highest
Desmognathus conanti,spotted dusky salamander,Plethodontidae,Low
Desmognathus monticola,seal salamander,Plethodontidae,Low
Desmognathus ocoee,Ocoee salamander,Plethodontidae,Moderate
Eurycea cirrigera,southern two-lined salamander,Plethodontidae,Lowest
Eurycea guttolineata,three-lined salamander,Plethodontidae,Lowest
Eurycea longicauda,long-tailed salamander,Plethodontidae,Lowest
