Stadium,Club ( s ),Location,Opened,Closed,Period ( s ) used for SPL matches
Almondvale Stadium,Livingston & Gretna,Livingston,1995,-,2001-2006 2008
Caledonian Stadium,Inverness Caledonian Thistle,Inverness,1996,-,2005-2009 2010-2013
Celtic Park,Celtic,Glasgow,1892,-,1998-2013
Dens Park,Dundee,Dundee,1899,-,1998-2005 2012-2013
East End Park,Dunfermline Athletic,Dunfermline,1885,-,1998-1999 2000-2007 2011-2012
Easter Road,Hibernian,Edinburgh,1893,-,1999-2013
Falkirk Stadium,Falkirk,Falkirk,2004,-,2005-2010
Fir Park,Motherwell & Gretna,Motherwell,1895,-,1998-2013
Firhill Stadium,Partick Thistle,Glasgow,1909,-,2002-2004
Ibrox Stadium,Rangers,Glasgow,1899,-,1998-2012
Love Street,St Mirren,Paisley,1894,2009,2000-2001 2006-2009
McDiarmid Park,St Johnstone,Perth,1989,-,1998-2002 2009-2013
New Douglas Park,Hamilton Academical,Hamilton,2001,-,2008-2011
Pittodrie Stadium,Aberdeen & Inverness Caledonian Thistle,Aberdeen,1899,-,1998-2013
Rugby Park,Kilmarnock,Kilmarnock,1899,-,1998-2013
St Mirren Park,St Mirren,Paisley,2009,-,2009-2013
Tannadice Park,Dundee United,Dundee,1883,-,1998-2013
Tynecastle Stadium,Heart of Midlothian,Edinburgh,1886,-,1998-2013
Victoria Park,Ross County,Dingwall,1929,-,2012-2013
