Nationality,Name,Weight Class
Brazilian,Anderson Silva,Middleweight
Belarusian,Andrei Arlovski,Heavyweight
American,B.J . Penn,Lightweight
Japanese,Caol Uno,Lightweight
English,Dan Hardy,Welterweight
American,Frank Mir,Heavyweight
Armenian,Gegard Mousasi,Light Heavyweight
Brazilian,José Aldo,Featherweight
American,K.J . Noons,Lightweight
American,Mark Muñoz,Middleweight
American,Diego Sanchez,Lightweight
Brazilian,Maurício Rua,Light Heavyweight
Cameroonian,Rameau Thierry Sokoudjou,Light Heavyweight
American,Roger Huerta,Lightweight
American,Tito Ortiz,Light Heavyweight
Canadian,Georges St-Pierre,Middleweight
