area,name,location,countries,elevation ( m )
,Colle di Cadibona,Savona to Ceva,Italy,436
,Colle del Melogno,Finale Ligure to Ceva,Italy,1028
,Giogo di Toirano,Toirano to Bardineto,Italy,801
,Colle Scravaion,Albenga to Calizzano,Italy,814
,Colle San Bernardo,Albenga to Garessio,Italy,957
,Passo di Prale,Cisano sul Neva to Ormea,Italy,1258
,Colle di Nava,Imperia to Ormea,Italy,934
,Colle San Bernardo di Mendatica,Triora and Mendatica to Ormea ( through Colle di Nava ),Italy,1262
Main,Col de Tende,Tende to Cuneo,"France , Italy",1870
Main,Col de la Lombarde,Isola to Vinadio,"France , Italy",2350
N/W,Col de la Bonette,Jausiers to Saint-Etienne-de-Tinée,France,2715
Main,Maddalena Pass /Col de Larche,Barcelonnette to Cuneo,"France , Italy",1996
Main,Col Agnel,Queyras to Sampeyre,"France , Italy",2744
Main,Col de Montgenèvre,Briançon to Susa,France,1854
Main,Col de l'Échelle,Briançon to Bardonecchia,"France , Italy",1762
N/W,Col du Galibier,Saint-Michel-de-Maurienne to Col du Lautaret,France,2642
N/W,Col du Lautaret,Bourg d'Oisans to Briancon,France,2058
Main,Col du Mont Cenis,Modane to Susa,France,2084
N/W,Col de l'Iseran,Val d'Isere to Bonneval-sur-Arc,France,2764
S/E,Col du Nivolet,Noasca to Courmayeur ( no through road ),Italy,2641
