Greek Designation,Collegiate Institution,Charter Date,Status,City,U.S. State/District
Alpha chapter,Binghamton University,"February 20 , 1994",Active,Vestal,New York
Beta chapter,SUNY Buffalo,"December 3 , 1994",Active,Buffalo,New York
Gamma chapter,Hofstra University,"December 7 , 1996",Inactive,Hempstead,New York
Delta chapter,Stony Brook University,"May 17 , 1997",Active,Stony Brook,New York
Zeta chapter,New York University,"May 17 , 1997",Active,New York,New York
Eta chapter,SUNY Albany,"December 13 , 1997",Inactive,Albany,New York
Theta chapter,Rensselaer Polytechnic Institute,"December 13 , 1997",Active,Troy,New York
Iota chapter,University of Rochester,"November 24 , 1997",Inactive,Rochester,New York
Kappa chapter,Cornell University,"April 25 , 1998",Active,Ithaca,New York
Lambda chapter,Rutgers University,"November 21 , 1998",Active,New Brunswick,New Jersey
Mu chapter,The Ohio State University,"April 22 , 2000",Active,Columbus,Ohio
Nu chapter,Carnegie Mellon University,"December 8 , 2001",Inactive,Pittsburgh,Pennsylvania
Xi chapter,University of Massachusetts Amherst,"November 24 , 1999",Active,Amherst,Massachusetts
Omicron chapter,The George Washington University,"November 15 , 2003",Active,Washington,District of Columbia
Pi chapter,University of Maryland at College Park,"November 13 , 2004",Inactive,College Park,Maryland
Rho chapter,"University of California , Riverside","March 30 , 2002",Active,Riverside,California
Sigma chapter,University of Florida,"November 13 , 2004",Active,Gainesville,Florida
Tau chapter,Pennsylvania State University,"April 19 , 2003",Active,University Park,Pennsylvania
Upsilon chapter,Rochester Institute of Technology,"November 18 , 2006",Inactive,Henrietta,New York
Phi chapter,University of Central Florida,"April 7 , 2008",Active,Orlando,Florida
