Region,Rnd,Host,Venue,City,State
East,1 & 2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
East,1 & 2,North Carolina State University,Reynolds Coliseum,Raleigh,North Carolina
East,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
East,1 & 2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
Mideast,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Mideast,1 & 2,Purdue University,Mackey Arena,West Lafayette,Indiana
Mideast,1 & 2,Texas Tech University,United Spirit Arena,Lubbock,Texas
Mideast,1 & 2,Xavier University,Cintas Center,Cincinnati,Ohio
Midwest,1 & 2,University of Notre Dame,Edmund P. Joyce Center,Notre Dame,Indiana
Midwest,1 & 2,Vanderbilt University,Memorial Gymnasium,Nashville,Tennessee
Midwest,1 & 2,Iowa State University,Hilton Coliseum,Ames,Iowa
Midwest,1 & 2,University of Utah,Jon M. Huntsman Center,Salt Lake City,Utah
West,1 & 2,University of Oklahoma,Lloyd Noble Center,Norman,Oklahoma
West,1 & 2,Rutgers University,Louis Brown Athletic Center,Piscataway,New Jersey
West,1 & 2,University of Florida,O'Connell Center,Gainesville,Florida
West,1 & 2,Duke University,Cameron Indoor Stadium,Durham,North Carolina
