Games,Gold,Silver,Bronze
1948 St. Moritz details,Henri Oreiller France,Franz Gabl Austria,Karl Molitor Switzerland Rolf Olinger Switzerland
1952 Oslo details,Zeno Colò Italy,Othmar Schneider Austria,Christian Pravda Austria
1956 Cortina d'Ampezzo details,Toni Sailer Austria,Raymond Fellay Switzerland,Anderl Molterer Austria
1960 Squaw Valley details,Jean Vuarnet France,Hans-Peter Lanig United Team of Germany,Guy Périllat France
1964 Innsbruck details,Egon Zimmermann Austria,Léo Lacroix France,Wolfgang Bartels United Team of Germany
1968 Grenoble details,Jean-Claude Killy France,Guy Périllat France,Jean-Daniel Dätwyler Switzerland
1972 Sapporo details,Bernhard Russi Switzerland,Roland Collombin Switzerland,Heinrich Messner Austria
1976 Innsbruck details,Franz Klammer Austria,Bernhard Russi Switzerland,Herbert Plank Italy
1980 Lake Placid details,Leonhard Stock Austria,Peter Wirnsberger Austria,Steve Podborski Canada
1984 Sarajevo details,Bill Johnson United States,Peter Müller Switzerland,Anton Steiner Austria
1988 Calgary details,Pirmin Zurbriggen Switzerland,Peter Müller Switzerland,Franck Piccard France
1992 Albertville details,Patrick Ortlieb Austria,Franck Piccard France,Günther Mader Austria
1994 Lillehammer details,Tommy Moe United States,Kjetil André Aamodt Norway,Ed Podivinsky Canada
1998 Nagano details,Jean-Luc Crétier France,Lasse Kjus Norway,Hannes Trinkl Austria
2002 Salt Lake City details,Fritz Strobl Austria,Lasse Kjus Norway,Stephan Eberharter Austria
2006 Turin details,Antoine Dénériaz France,Michael Walchhofer Austria,Bruno Kernen Switzerland
2010 Vancouver details,Didier Défago Switzerland,Aksel Lund Svindal Norway,Bode Miller United States
2014 Sochi details,Matthias Mayer Austria,Christof Innerhofer Italy,Kjetil Jansrud Norway
2018 Pyeongchang details,Aksel Lund Svindal Norway,Kjetil Jansrud Norway,Beat Feuz Switzerland
