Medal,Name,Sport,Event
Gold,Tormod Knutsen,Nordic combined,Men 's individual
Gold,Toralf Engan,Ski jumping,Men 's large hill
Gold,Knut Johannesen,Speed skating,Men 's 5000m
Silver,Harald Grønningen,Cross-country skiing,Men 's 15 km
Silver,Harald Grønningen,Cross-country skiing,Men 's 30 km
Silver,Toralf Engan,Ski jumping,Men 's normal hill
Silver,Alv Gjestvang,Speed skating,Men 's 500m
Silver,Per Ivar Moe,Speed skating,Men 's 5000m
Silver,Fred Anton Maier,Speed skating,"Men 's 10,000m"
Bronze,Olav Jordet,Biathlon,Men 's 20 km
Bronze,Torgeir Brandtzæg,Ski jumping,Men 's normal hill
Bronze,Torgeir Brandtzæg,Ski jumping,Men 's large hill
Bronze,Villy Haugen,Speed skating,Men 's 1500m
Bronze,Fred Anton Maier,Speed skating,Men 's 5000m
Bronze,Knut Johannesen,Speed skating,"Men 's 10,000m"
