Name,Service,Rank,Place of action,Date of action
Dennis Bell,Army,Private,"Battle of Tayacoba , Cuba","Jun 30 , 1898"
George F. Brady,Navy,Chief Gunner 's Mate,"Cardenas , Cuba","May 11 , 1898"
Thomas Cavanaugh,Navy,Fireman First Class,Bahamas,"November 14 , 1898"
Thomas C. Cooney,Navy,Chief Machinist,"Cardenas , Cuba","May 11 , 1898"
Thomas M. Doherty,Army,Corporal,Santiago de Cuba,"July 1 , 1898"
John Fitzgerald,Marine Corps,Private,"Cuzco , Cuba","June 14 , 1898"
Philip Gaughan,Marine Corps,Sergeant,"Cienfuegos , Cuba","May 11 , 1898"
Michael Gibbons,Navy,Oiler,"Cienfuegos , Cuba","May 11 , 1898"
Michael Kearney,Marine Corps,Private,"Cienfuegos , Cuba","May 11 , 1898"
Thomas Kelly,Army,Private,Santiago de Cuba,"July 1 , 1898"
John Maxwell,Navy,Fireman Second Class,"Cienfuegos , Cuba","May 11 , 1898"
Daniel Montague,Navy,Chief Master-at-arms,Santiago de Cuba,"June 2 , 1898"
John E. Murphy,Navy,Coxswain,Santiago de Cuba,"June 2 , 1898"
Edward Sullivan,Marine Corps,Corporal,"Cienfuegos , Cuba","May 11 , 1898"
