Pos,No,Driver,Constructor,Lap Time,Gap
1,7,David Coulthard,McLaren - Mercedes,1:25.852,
2,3,Michael Schumacher,Ferrari,1:26.251,+0.399
3,8,Mika Häkkinen,McLaren - Mercedes,1:26.632,+0.780
4,4,Eddie Irvine,Ferrari,1:26.780,+0.928
5,10,Ralf Schumacher,Jordan - Mugen-Honda,1:26.827,+0.975
6,2,Heinz-Harald Frentzen,Williams - Mecachrome,1:26.876,+1.024
7,1,Jacques Villeneuve,Williams - Mecachrome,1:26.941,+1.089
8,6,Alexander Wurz,Benetton - Playlife,1:27.196,+1.344
9,9,Damon Hill,Jordan - Mugen-Honda,1:27.483,+1.631
10,5,Giancarlo Fisichella,Benetton - Playlife,1:27.836,+1.984
11,14,Jean Alesi,Sauber - Petronas,1:27.839,+1.987
12,15,Johnny Herbert,Sauber - Petronas,1:28.016,+2.164
13,21,Toranosuke Takagi,Tyrrell - Ford,1:28.811,+2.959
14,18,Rubens Barrichello,Stewart - Ford,1:29.249,+3.397
15,11,Olivier Panis,Prost - Peugeot,1:29.320,+3.468
16,12,Jarno Trulli,Prost - Peugeot,1:29.352,+3.500
17,17,Mika Salo,Arrows,1:29.617,+3.765
18,16,Pedro Diniz,Arrows,1:30.022,+4.170
19,22,Shinji Nakano,Minardi - Ford,1:30.054,+4.202
20,23,Esteban Tuero,Minardi - Ford,1:30.158,+4.306
