Title,Release Date,Console ( s ),Developer ( s )
Rugby League,9 December 2003,"PlayStation 2 , Xbox , Microsoft Windows",Sidhe Interactive
Rugby League 2,9 December 2005,"PlayStation 2 , Xbox , Microsoft Windows",Sidhe Interactive
Rugby League 2 : World Cup Edition,6 November 2008,PlayStation 2,Sidhe Interactive
NRL Mascot Mania,2 July 2009,Nintendo DS,Wicked Witch Software
Rugby League Challenge,9 September 2009,PlayStation Portable,Wicked Witch Software
Rugby League 3,18 March 2010,Wii,Sidhe Interactive
Rugby League Live,27 August 2010,"PlayStation 3 , Xbox 360 , Microsoft Windows",Big Ant Studios
Rugby League Live 2,9 October 2012,"PlayStation 3 , Xbox 360",Big Ant Studios
Rugby League Live 2 : Gold Edition,20 September 2013,"iOS , Android",Wicked Witch Software
Rugby League Live 3,10 September 2015,"PlayStation 3 , PlayStation 4 , Xbox 360 , Xbox One , Microsoft Windows",Big Ant Studios
Rugby League Live 4,20 July 2017,"PlayStation 4 , Xbox One , PC",Big Ant Studios
Rugby League Live 4 World Cup Edition,18 December 2017,"PlayStation 4 , Xbox One , PC",Big Ant Studios
