Senator or Representative,Party,State,Date
Senator John C. Andreason,Republican,Idaho,2.8.2012
Senator Steve Bair,Republican,Idaho,2.8.2012
Senator Toni Boucher,Republican,Connecticut,"September 29 , 2011"
Senator Bert Brackett,Republican,Idaho,2.8.2012
Senator Dean L. Cameron,Republican,Idaho,2.8.2012
Senator Rich Crandall,Republican,Arizona,"February 2 , 2012"
Senator Denton Darrington,Republican,Idaho,2.8.2012
Senator Bart Davis,Republican,Idaho,"June 20 , 2011"
Senator Adam Driggs,Republican,Arizona,"February 2 , 2012"
Senator Scott Frantz,Republican,Connecticut,"September 29 , 2011"
Senator Lee Heider,Republican,Idaho,2.8.2012
Senator Brent Hill,Republican,Idaho,"June 20 , 2011"
Senator Rick Jones,Republican,Michigan,
Senator Rob Kane,Republican,Connecticut,"September 29 , 2011"
Senator Shawn Keough,Republican,Idaho,2.8.2012
Senator Steve King,Republican,Colorado,2.6.2012
Senator Jerry Lewis,Republican,Arizona,"February 2 , 2012"
Senator John McComish,Republican,Arizona,"February 2 , 2012"
Senator John McKinney,Republican,Connecticut,"September 29 , 2011"
Senator Michael McLachlan,Republican,Connecticut,"September 29 , 2011"
