PTC #,Owner,"City , State",Year Built
6,Kit Carson Co. Fairgrounds,"Burlington , Colorado",1905
9,Carousel of Pottstown,"Pottstown , Pennsylvania",1905
15,Palisades Center Mall,"West Nyack , New York",1907
17,Six Flags Over Georgia,"Atlanta , Georgia",1908
18,Destiny USA,"Syracuse , New York",1909
19,Western Reserve Historical Society,"Cleveland , Ohio",1910
21,Six Flags Magic Mountain,"Valencia , California",1912
30,"Luna Park , Melbourne","St Kilda , Melbourne Australia",1913
33,Como Park,"St. Paul , Minnesota",1914
35,Six Flags St. Louis,"Eureka , Missouri",1915
39,Lake Winnepesaukah,"Rossville , Georgia",1916
43,Washington State Fair,"Puyallup , Washington",1917
44,Kings Dominion,"Doswell , Virginia",1917
45,Woodland Park Zoo,"Seattle , Washington",1918
46,Magic Kingdom,"Bay Lake , Florida",1917
47,Hersheypark,"Hershey , Pennsylvania",1919
49,Louisville Zoo,"Louisville , Kentucky",1919
50,City of Hampton,"Hampton , Virginia",1920
51,Elitch Gardens,"Denver , Colorado",1925-1928
53,Charles N. Walker,"Griffin , Georgia",1920
