Year,Winner,Nominees
2003,Sum 41,Blue Rodeo Our Lady Peace Swollen Members The Tragically Hip
2004,Nickelback,Barenaked Ladies Finger Eleven La Chicane Our Lady Peace
2005,Billy Talent,Great Big Sea Simple Plan Sum 41 The Tragically Hip
2006,Nickelback,Barenaked Ladies Blue Rodeo Our Lady Peace Theory of a Deadman
2007,Billy Talent,Alexisonfire Hedley The Tragically Hip Three Days Grace
2008,Blue Rodeo,Arcade Fire Finger Eleven Hedley Kaïn
2009,Nickelback,Great Big Sea Simple Plan The Trews Tokyo Police Club
2010,Metric,Billy Talent Blue Rodeo Hedley The Tragically Hip
2011,Arcade Fire,Broken Social Scene Down With Webster Great Big Sea Three Days Grace
2012,Arkells,Down With Webster Hedley Nickelback Sam Roberts Band
2013,Marianas Trench,Billy Talent Metric Rush The Sheepdogs
2014,Tegan and Sara,Arcade Fire Blue Rodeo Hedley Walk off the Earth
2015,Arkells,Chromeo Mother Mother Nickelback You+Me
2016,Walk Off The Earth,Hedley Marianas Trench Metric Three Days Grace
2017,The Tragically Hip,Arkells Billy Talent Tegan and Sara The Strumbellas
2018,A Tribe Called Red,Alvvays Arcade Fire Broken Social Scene Hedley - nomination withdrawn
2019,Arkells,Chromeo Metric The Sheepdogs Three Days Grace
2020,TBA,88Glam Elijah Woods x Jamie Fine Loud Luxury The Reklaws Walk Off the Earth
