Recipient,Birth-death,Position,Year awarded
Tôn Đức Thắng,1888-1980,President of Vietnam,1958
Võ Nguyên Giáp,1911-2013,"General , Commander-in-chief of the Vietnam People 's Army , Minister of Defence of Vietnam",1992
Lê Duẩn,1907-1986,General Secretary of the Communist Party of Vietnam,
Trường Chinh,1907-1988,"President of Vietnam , General Secretary of the Party",
Phạm Văn Đồng,1906-2000,Prime Minister of Vietnam,1990
Phạm Hùng,1912-1988,Prime Minister of Vietnam,
Nguyễn Văn Linh,1915-1998,General Secretary of the Party,
Lê Đức Thọ,1911-1990,Head of the Central Organizing Department,
Võ Chí Công,1912-2011,President of Vietnam,1992
Võ Văn Kiệt,1922-2008,Prime Minister of Vietnam,1997
Lê Quang Đạo,1921-1999,President of the National Assembly of Vietnam,2002 ( posthumously )
Văn Tiến Dũng,1917-2002,"General , Minister of Defence of Vietnam",
Lê Đức Anh,1920-,"President of Vietnam , Minister of Defence of Vietnam",
Nguyễn Hữu Thọ,1910-1996,"President of the National Assembly , Acting President of Vietnam",1993
Đỗ Mười,1917-,"General Secretary of the Party , Prime Minister of Vietnam",
Huỳnh Tấn Phát,1913-1989,Chairman of Government of the Republic of South Vietnam,2005 ( posthumously )
Nguyễn Chí Thanh,1914-1967,"General , Director of the Department of Politics of the Vietnam People 's Army",posthumously
Lê Trọng Tấn,1914-1986,"General , Chief of the General Staff",2007 ( posthumously )
Hoàng Văn Thái,1915-1986,"General , Chief of the General Staff",2007 ( posthumously )
Jambyn Batmönkh,1926-1997,President of Mongolia,
