#,Pos,Name,DoB/Age,Height,Club
4,Guard,Aleksandar Cvetković,( 1993-09-12 ) 12 September 1993 ( aged 16 ),1.85 metres ( 6.1 ft ),KK Crvena zvezda
5,Guard,Nikola Radičević,( 1994-04-25 ) 25 April 1994 ( aged 16 ),1.95 metres ( 6.4 ft ),KK Partizan
6,Guard,Marko Radonjić,( 1993-02-06 ) 6 February 1993 ( aged 17 ),1.90 metres ( 6.2 ft ),KK Crvena zvezda
7,Guard,Nemanja Dangubić,( 1993-04-13 ) 13 April 1993 ( aged 17 ),1.96 metres ( 6.4 ft ),Kris Kros Pančevo
8,Forward,Nikola Čvorović,( 1994-01-30 ) 30 January 1994 ( aged 16 ),1.97 metres ( 6.5 ft ),KK Crvena zvezda
9,Power Forward,Luka Mitrović,( 1993-03-21 ) 21 March 1993 ( aged 17 ),2.04 metres ( 6.7 ft ),KK Hemofarm
10,Guard,Nenad Miljenović,( 1993-04-08 ) 8 April 1993 ( aged 17 ),1.94 metres ( 6.4 ft ),KK FMP
11,Forward,Nemanja Krstić,( 1993-03-02 ) 2 March 1993 ( aged 17 ),1.98 metres ( 6.5 ft ),KK Hemofarm
12,Power Forward,Nikola Janković,( 1994-02-13 ) 13 February 1994 ( aged 16 ),2.00 metres ( 6.56 ft ),KK FMP
13,Shooting Guard,Đorđe Milošević,( 1993-06-20 ) 20 June 1993 ( aged 17 ),1.98 metres ( 6.5 ft ),KK Hemofarm
14,Center,Nemanja Bezbradica,( 1993-05-29 ) 29 May 1993 ( aged 17 ),2.04 metres ( 6.7 ft ),KK FMP
15,Center,Marko Ćirović,( 1993-06-28 ) 28 June 1993 ( aged 17 ),2.04 metres ( 6.7 ft ),KK Hemofarm
