#,Event year,Season,Flag bearer,Sport
47,2018,Winter,Tessa Virtue and Scott Moir,Figure Skating
46,2016,Summer,Rosannagh MacLennan,Gymnastics
45,2014,Winter,Hayley Wickenheiser,Hockey
44,2012,Summer,Simon Whitfield,triathlon
43,2010,Winter,Clara Hughes,speed skating
42,2008,Summer,Adam van Koeverden,Kayaking
41,2006,Winter,Danielle Goyette,Hockey
40,2004,Summer,Nicolas Gill,Judo
39,2002,Winter,Catriona Le May Doan,Speed skating
38,2000,Summer,Caroline Brunet,Kayak racing
37,1998,Winter,Jean-Luc Brassard,Freestyle skiing
36,1996,Summer,Charmaine Crooks,Athletics
35,1994,Winter,Kurt Browning,Figure skating
34,1992,Summer,Mike Smith,Athletics
33,1992,Winter,Sylvie Daigle,Short track speed skating
32,1988,Summer,Carolyn Waldo,Synchronized swimming
31,1988,Winter,Brian Orser,Figure skating
30,1984,Summer,Alex Baumann,Swimming
29,1984,Winter,Gaétan Boucher,Speed skating
,1980,Summer,Sue Holloway,Canoe
