,State,City,Venue,Capacity
1,Indiana,Seymour,Lloyd E. Scott Gymnasium,"8,228"
2,Indiana,East Chicago,John A. Baratto Athletic Center,"8,054"
3,Indiana,New Castle,New Castle Fieldhouse,"7,829"
4,Indiana,Richmond,Tiernan Center,"7,786"
5,Indiana,Marion,Bill Green Athletic Arena,"7,560"
6,Texas,Dallas,Alfred J. Loos Fieldhouse,"7,500"
7,Indiana,Elkhart,North Side Gymnasium,"7,373"
8,Indiana,Michigan City,The Wolves ' Den Gym,"7,304"
9,Indiana,Gary,West Side High School Gym,"7,217"
10,Indiana,Lafayette,Jefferson High School Gym,"7,200"
11,Indiana,Southport,Southport High School Gym,"7,124"
12,Indiana,Washington,The Hatchet House,"7,090"
13,Indiana,Columbus,Memorial Gymnasium,"7,071"
14,Arizona,Chinle,Wildcat Den,"7,000"
