Date,Ship,Country,Builder,Location,Class / type
1 November,Rockingham,United States,Kaiser Company,"Vancouver , Washington",Haskell -class attack transport
2 November,Frederic W. Galbraith,United States,St. Johns River Shipbuilding Company,"Jacksonville , Florida",Liberty ship
2 November,Pontus H. Ross,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
2 November,Lake Champlain,United States,Norfolk Navy Yard,"Norfolk , Virginia",Essex -class aircraft carrier
2 November,U 3016,Nazi Germany,AG Weser,Bremen,Type XXI submarine
3 November,Belle Isle,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
3 November,Josiah Tattnell,United States,Southeastern Shipbuilding Corporation,"Savannah , Georgia",Liberty ship
3 November,Liguria,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
3 November,Winthrop L. Marvin,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
3 November,Braxton,United States,California Shipbuilding Corporation,Los Angeles,Haskell -class attack transport
3 November,Jerauld,United States,Oregon Shipbuilding Company,Portland,Haskell -class attack transport
4 November,Matthew Sheehan,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
4 November,U 3515,Nazi Germany,Schichau-Werke,Danzig,Type XXI submarine
4 November,U 3516,Nazi Germany,Schichau-Werke,Danzig,Type XXI submarine
4 November,Oneida Victory,United States,Bethlehem-Fairfield Shipyards,Baltimore,Victory ship
4 November,Richard Randall,United States,J . A. Jones Construction Company,"Brunswick , Georgia",Liberty ship
5 November,Broadwater,United States,California Shipbuilding Corporation,Los Angeles,Haskell -class attack transport
5 November,Pickaway,United States,"Permanente Metals , # 2 Yard","Richmond , California",Haskell -class attack transport
5 November,Rockwall,United States,Kaiser Company,"Vancouver , Washington",Haskell -class attack transport
5 November,U 3017,Nazi Germany,AG Weser,Bremen,Type XXI submarine
