Club,Winners,Runners-up,Winning Seasons
Al-Zawraa,14,6,"1975-76 , 1976-77 , 1978-79 , 1990-91 , 1993-94 , 1994-95 , 1995-96 , 1998-99 , 1999-2000 , 2000-01 , 2005-06 , 2010-11 , 2015-16 , 2017-18"
Al-Quwa Al-Jawiya,6,11,"1974-75 , 1989-90 , 1991-92 , 1996-97 , 2004-05 , 2016-17"
Al-Talaba,5,7,"1980-81 , 1981-82 , 1985-86 , 1992-93 , 2001-02"
Al-Shorta,5 + 1 dp,2,"1979-80 , 1997-98 , 2012-13 , 2013-14 , 2018-19 ( dp : 2002-03 )"
Erbil,4,3,"2006-07 , 2007-08 , 2008-09 , 2011-12"
Al-Rasheed,3,2,"1986-87 , 1987-88 , 1988-89"
Al-Jaish,1,2,1983-84
Al-Minaa,1,1,1977-78
Duhok,1,1,2009-10
Naft Al-Wasat,1,1,2014-15
Salahaddin,1,0,1982-83
