Year,Round,Pick,Name,From
2019,1,9,Rui Hachimura,Gonzaga University
2018,1,15,Troy Brown Jr,University of Oregon
2018,2,44,Issuf Sanon,Olimpija Ljubljana ( Slovenia )
2015,1,19,Jerian Grant,University of Notre Dame
2015,2,49,Aaron White,University of Iowa
2014,2,46,Jordan Clarkson,University of Missouri
2013,1,3,Otto Porter,Georgetown University
2013,2,54,Arsalan Kazemi,University of Oregon
2012,1,3,Bradley Beal,University of Florida
2012,2,32,Tomáš Satoranský,Banca Cívica ( Spain )
2011,1,6,Jan Veselý,Partizan ( Serbia )
2011,1,18,Chris Singleton,Florida State University
2011,2,34,Shelvin Mack,Butler University
2010,1,1,John Wall,University of Kentucky
2010,1,30,Lazar Hayward,Marquette University
2010,2,35,Nemanja Bjelica,Red Star Belgrade ( Serbia )
2009,2,32,Jermaine Taylor,University of Central Florida
2008,1,18,JaVale McGee,"University of Nevada , Reno"
2008,2,47,Henry Walker,Kansas State University
2007,1,16,Nick Young,University of Southern California
