Name,Party,District,Religion
Saad Hariri,Future Movement,Beirut II,Sunni
Nohad Machnouk,Future Movement,Beirut II,Sunni
Rola Tabsh Jaroudi,Future Movement,Beirut II,Sunni
Tamam Salam,Future Movement,Beirut II,Sunni
Nazih Najem,Future Movement,Beirut II,Greek Orthodox
Walid Baarini,Future Movement,Akkar,Sunni
Tarek El Merhebi,Future Movement,Akkar,Sunni
Mohamed Sleiman,Future Movement,Akkar,Sunni
Hadi Hobeich,Future Movement,Akkar,Maronite
Sami Fatfat,Future Movement,Dinniyeh,Sunni
Othman Alameddine,Future Movement,Minyeh,Sunni
Samir Jisr,Future Movement,Tripoli,Sunni
Mohamed Kabara,Future Movement,Tripoli,Sunni
Dima Jamali,Future Movement,Tripoli,Sunni
Mohamed Hajjar,Future Movement,Chouf,Sunni
Bahia Hariri,Future Movement,Saida,Sunni
Mohamed Karaawi,Future Movement,West Bekaa Rashaya,Sunni
Bakr Hujeiri,Future Movement,Baalbeck Hermel,Sunni
Assem Araji,Future Movement,Zahle,Sunni
Henri Chedid,Independent,West Bekaa Rashaya,Maronite
