State,Incumbent,Party,Status,Candidates,Winner
Acre,Binho Marques,Workers ' Party ( PT ),Refrained from seeking re-election,Tião Viana ( PT ) Tião Bocalom ( PSDB ) Antônio Gouveia ( PRTB ),Tião Viana ( PT )
Alagoas,Teotônio Vilela Filho,Brazilian Social Democracy Party ( PSDB ),Seeking re-election,Fernando Collor ( PTB ) Ronaldo Lessa ( PDT ) Tony Clóvis ( PCB ) Mário Agra ( PSOL ) Jefferson Piones ( PRTB ),Teotônio Vilela Filho ( PSDB )
Amapá,Waldez Góes,Democratic Labour Party ( PDT ),Term-limited,Camilo Capiberibe ( PSB ) Genival Cruz ( PSTU ) Jorge Amanajas ( PSDB ) Luiz Cantuária ( PTB ) Pedro Paulo ( PP ),Camilo Capiberibe ( PSB )
Amazonas,Eduardo Braga,Brazilian Democratic Movement Party ( PMDB ),Term-limited,Alfredo Nascimento ( PR ) Hissa Abrahão ( PPS ) Herbert Amazonas ( PSTU ) Luiz Carlos Sena ( PSOL ) Luiz Navarro ( PCB ) Omar Aziz ( PMN ),Omar Aziz ( PMN )
Bahia,Jaques Wagner,Workers ' Party ( PT ),Seeking re-election,Paulo Souto ( DEM ) Geddel Vieira Lima ( PMDB ) Marcos Mendes ( PSOL ) Luiz Bassuma ( PV ) Sandro Santa Bárbara ( PCB ) Carlos do Nascimento ( PSTU ),Jaques Wagner ( PT )
Ceará,Cid Gomes,Brazilian Socialist Party ( PSB ),Seeking re-election,Francisco Gonzaga ( PSTU ) Lúcio Alcântara ( PR ) Marcos Cals ( PSDB ) Soraya Tupinambá ( PSOL ) Marcelo Silva ( PV ) Maria Nati Rocha ( PCB ),Cid Gomes ( PSB )
Espírito Santo,Paulo Hartung,Brazilian Democratic Movement Party ( PMDB ),Term-limited,Renato Casagrande ( PSB ) Luiz Paulo Lucas ( PSDB ) Gilberto Caregnato ( PRTB ) Brice Bragato ( PSOL ) José Avelar ( PCO ),Renato Casagrande ( PSB )
Federal District,Rogério Rosso,Brazilian Democratic Movement Party ( PMDB ),Refrained from seeking re-election,Weslian Roriz ( PSC ) Agnelo Queiroz ( PT ) Eduardo Brandão ( PV ) Carlos de Andrade ( PSOL ) Newton Lins ( PSL ) Rodrigo Dantas ( PSTU ) Ricardo Machado ( PCO ),Agnelo Queiroz ( PT )
Goiás,Alcides Rodrigues,Progressive Party ( PP ),Term-limited,Marconi Perillo ( PSDB ) Iris Rezende ( PMDB ) Vanderlan Cardoso ( PR ) Marta Jane ( PCB ) Washington Fraga ( PSOL ),Marconi Perillo ( PSDB )
Maranhão,Roseana Sarney,Brazilian Democratic Movement Party ( PMDB ),Seeking re-election,Jackson Lago ( PDT ) Flávio Dino ( PCdoB ) Marcos Igrejas ( PCB ) Marcos Silva ( PSTU ) Saulo Arcangeli ( PSOL ),Roseana Sarney ( PMDB )
Mato Grosso,Blairo Maggi,Republic Party ( PR ),Term-limited,Silval Barbosa ( PMDB ) Mauro Mendes ( PSB ) Marcos Magno ( PSOL ) Wilson Santos ( PSDB ),Silval Barbosa ( PMDB )
Mato Grosso do Sul,André Puccinelli,Brazilian Democratic Movement Party ( PMDB ),Seeking re-election,Zeca do PT ( PT ) Nei Braga ( PSOL ),André Puccinelli ( PMDB )
Minas Gerais,Aécio Neves,Brazilian Social Democracy Party ( PSDB ),Term-limited,Hélio Costa ( PMDB ) Antônio Anastasia ( PSDB ) Vanessa Portugal ( PSTU ) José Fernando ( PV ) Fábio Aparecido ( PCB ) Luiz Carlos Ferreira ( PSOL ) Edilson do Nascimento ( PTdoB ),Antônio Anastasia ( PSDB )
Pará,Ana Julia Carepa,Workers ' Party ( PT ),Seeking re-election,Simão Jatene ( PSDB ) Domingos Juvenil ( PMDB ) Cléber Rabelo ( PSTU ) Fernando Carneiro ( PSOL ),Simão Jatene ( PSDB )
Paraíba,José Maranhão,Brazilian Democratic Movement Party ( PMDB ),Seeking re-election,Ricardo Coutinho ( PSB ) Prancisco Oliveira ( PCB ) Lourdes Sarmento ( PCO ) Nelson Júnior ( PSOL ) Marcelino Rodrigues ( PSTU ),Ricardo Coutinho ( PSB )
Paraná,Roberto Requião,Brazilian Democratic Movement Party ( PMDB ),Term-limited,Beto Richa ( PSDB ) Osmar Dias ( PDT ) Luiz Felipe Bergmann ( PSOL ) Avanilson Araújo ( PSTU ) Amadeu Felipe ( PCB ) Paulo Salamuni ( PV ) Robinson de Paula ( PRTB ),Beto Richa ( PSDB )
Pernambuco,Eduardo Campos,Brazilian Socialist Party ( PSB ),Seeking re-election,Jarbas Vasconcelos ( PMDB ) Roberto Numeriano ( PCB ) Anselmo Campelo ( PRTB ) Sérgio Xavier ( PV ) Edilson Silva ( PSOL ) Jair Pedro ( PSTU ),Eduardo Campos ( PSB )
Piauí,Wellington Dias,Workers ' Party ( PT ),Term-limited,Francisco Macedo ( PMN ) Geraldo Carvalho ( PSTU ) Romualdo Brazil ( PSOL ) José Avelar Costa ( PSL ) João Vicente Claudino ( PTB ) Lourdes Melo ( PCO ) Silvio Mendes ( PSDB ) Teresa Britto ( PV ) Wilson Martins ( PSB ),Wilson Martins ( PSB )
Rio de Janeiro,Sérgio Cabral Filho,Brazilian Democratic Movement Party ( PMDB ),Seeking re-election,Fernando Gabeira ( PV ) Eduardo Serra ( PCB ) Cyro Garcia ( PSTU ) Jefferson Moura ( PSOL ) Fernando Peregrino ( PR ),Sérgio Cabral Filho ( PMDB )
Rio Grande do Norte,Wilma de Faria,Brazilian Socialist Party ( PSB ),Term-limited,Iberê Ferreira ( PSB ) Carlos Eduardo ( PDT ) Rosalba Ciarlini ( DEM ) Bartô Moreira ( PRTB ) Camarada Leto ( PCB ) Simone Dutra ( PSTU ) Sandro Pimentel ( PSOL ) Roberto Ronconi ( PTC ),Rosalba Ciarlini ( DEM )
