Name,Location,Year,Architectural style,Remarks
Al-Anshor Mosque Masjid Al-Anshor,"West Jakarta , Jakarta 6°08′20″S 106°48′25″E / 6.1390°S 106.8069°E / -6.1390 ; 106.8069",1648,,It was constructed by Muslim traders from Bengal and Gujarat
Kali Pasir Mosque Masjid Kali Pasir ᮙᮞ᮪ᮏᮤᮓ᮪ ᮊᮜᮤ ᮕᮞᮤᮁ 坤甸雅米清真寺,"Tangerang , Banten 6°11′S 106°38′E / 6.18°S 106.63°E / -6.18 ; 106.63",1700,Chinese,Oldest Mosque in Tangerang
Luar Batang Mosque Masjid Luar Batang,Jakarta 6°07′26″S 106°48′23″E / 6.1239°S 106.8065°E / -6.1239 ; 106.8065,1736,"Neoclassical , Javanese",Heavily altered
An-Nawier Mosque Masjid An-Nawier,"West Jakarta , Jakarta 6°08′29″S 106°48′16″E / 6.1413°S 106.8045°E / -6.1413 ; 106.8045",1760,"Neoclassical , Javanese",
Great Mosque of Sumenep Masjid Agung Sumenep أݢوڠ سَوڠٚنٚبْ مسجد,"Sumenep Regency , East Java 7°59′S 112°38′E / 7.98°S 112.63°E / -7.98 ; 112.63",1787,"Chinese , Neoclassical , Javanese","A mosque that exemplify Portuguese characteristics , not different with mosques in Sri Lanka"
Manonjaya Grand Mosque Masjid Agung Manonjaya ᮙᮞ᮪ᮏᮤᮓ᮪ ᮃᮌᮩᮀ ᮙᮔᮧᮔ᮪ᮏᮚ,"Tasikmalaya , West Java 7°21′05″S 108°18′26″E / 7.3513°S 108.3071°E / -7.3513 ; 108.3071",1834-1837,"Neoclassical , Javanese",
Masjid Muhammadan Masjid Muhammadan محمدان موساجيك முகமதுவின் மசூதி મુહમ્મદની મસ્જિદ,"Padang , West Sumatra 0°57′41″S 100°21′51″E / 0.9615°S 100.3642°E / -0.9615 ; 100.3642",1843,Indo-Islamic,
Grand Mosque of the Sultan of Riau Masjid Raya Sultan Riau مسجد رايو سلطان رياو 廖内苏丹的大清真寺,"Tanjung Pinang , Riau Islands 0°55′46″S 104°25′14″E / 0.9294°S 104.4205°E / -0.9294 ; 104.4205","1844 ( first built in the 18th century , major alternation started in 1831 )","Malay , Indo-Islamic , Turkish",Reputedly the first mosque in Indonesia which employs a dome
Al-Osmani Mosque Masjid Al-Osmani مسجد العثماني,"Medan , North Sumatra 3°43′56″N 98°40′34″E / 3.7322°N 98.6761°E / 3.7322 ; 98.6761","1872 ( first wooden construction in 1854 , alteration began in 1870 )","Moorish , Mughal , Spanish , Malay",
Baiturrahman Grand Mosque Masjid Raya Baiturrahman مسجد رايا بيت الرحمن,"Banda Aceh , Aceh 5°32′45″N 95°19′05″E / 5.5458°N 95.3181°E / 5.5458 ; 95.3181",1881,"Indo-Saracenic Revival , Moorish","One of the oldest mosque in Aceh , the building survived the 2004 Tsunami"
Great Mosque of Palembang Masjid Agung Palembang أݢوڠ ڤلامبڠ مسجد,"Palembang , South Sumatra 2°59′16″S 104°45′35″E / 2.987833°S 104.759796°E / -2.987833 ; 104.759796","1893 ( established in 1748 ; major renovations in 1893 , 1916 , 1950s , and the 1970s ; major expansion in the 1990s )","Palladian , Malay , Chinese",The royal mosque of Palembang Sultanate
Nurul Islam Great Mosque Masjid Agung Nurul Islam موساجيك أݢوڠ نور الإسلام,"Sawahlunto , West Sumatra 0°41′10″S 100°46′40″E / 0.6860°S 100.7777°E / -0.6860 ; 100.7777",1894,,Originally a steam powered power station
Azizi Mosque Masjid Azizi مسجد عزيز,"Langkat Regency , North Sumatra 3°53′29″N 98°25′26″E / 3.8915°N 98.4240°E / 3.8915 ; 98.4240",1902,"Mughal , Malay , Iranian , Islamic , Chinese",The royal mosque of the Langkat Sultanate
Great Mosque of Medan Masjid Raya Medan مسجد رايا ميدان,"Medan , North Sumatra 3°34′30″N 98°41′14″E / 3.5751°N 98.6873°E / 3.5751 ; 98.6873",1906,"Moorish , Mughal , Spanish",The royal mosque of Deli Sultanate
Nurul Huda Mosque Masjid Nurul Huda موساجيك نور الهدى,"Sawahlunto , West Sumatra 1°10′06″S 101°39′18″E / 1.1684°S 101.6550°E / -1.1684 ; 101.6550",1921,Minangkabau,
Koto Baru Grand Mosque Masjid Raya Koto Baru,"South Solok Regency , West Sumatra 1°28′54″S 101°03′33″E / 1.481637°S 101.059198°E / -1.481637 ; 101.059198",1922,Minangkabau,
Cut Mutiah Mosque Masjid Cut Meutia,"Central Jakarta , Jakarta 6°11′14″S 106°50′00″E / 6.1873°S 106.8333°E / -6.1873 ; 106.8333",1922,"Dutch Rationalism , New Indies Style",Originally an architecture office
Baiturrahim Mosque Masjid Baiturrahim مسجد بيت الرحيم,"Banda Aceh , Aceh 5°33′21″N 95°17′03″E / 5.5558°N 95.2841°E / 5.5558 ; 95.2841","1922 , 1993 ( expanded )",Moorish,The building has been fully restored after it was seriously damaged by the 2004 Tsunami
