Title,Developer,Publisher,Year,Platform
Airlock,Rage Software,Orange Multimedia,2000,WAP
All Star Baseball 2004,Acclaim Studios Manchester,Acclaim Entertainment,2004,Game Boy Advance
Apprentise aka Fluffy,Software Creations,unfinished and unpublished,2001,Game Boy Advance
Batman : The Caped Crusader,Special FX Software,Ocean Software Ltd,1988,ZX Spectrum
Cluster Bluster,?,?,?,SNES
Cobra,Ocean Software Ltd,Ocean Software Ltd,1986,ZX Spectrum
Daley Thompson 's Supertest,Ocean Software Ltd,Ocean Software Ltd,1985,ZX Spectrum
Firefly,Special FX Software,Ocean Software Ltd,1988,ZX Spectrum
Green Beret,Imagine Software Ltd,Ocean Software Ltd,1986,ZX Spectrum
Hudson Hawk,Special FX Software,Ocean Software Ltd,1991,Atari ST
Hyper Active,Special FX Software,Sinclair User,1988,ZX Spectrum
Hyper Sports,Imagine Software Ltd,Ocean Software Ltd,1985,ZX Spectrum
Hysteria,Special FX Software,Software Projects Ltd,1987,ZX Spectrum
Ping Pong,Imagine Software Ltd,Ocean Software Ltd,1986,ZX Spectrum
Kong Strikes Back !,Ocean Software Ltd,Ocean Software Ltd,1984,ZX Spectrum
Looney Tunes Back in Action,Warthog PLC,Electronic Arts,2003,Game Boy Advance
Momma Can I Mow The Lawn ?,Gizmondo Studios,Gizmondo Studios,2005,Gizmondo
Midnight Resistance,Special FX Software,Ocean Software Ltd,1990,Atari ST
Mikie,Imagine Software Ltd,Ocean Software Ltd,1986,ZX Spectrum
Mr. Do !,Special FX Software,Ocean Software Ltd,1992,Game Boy
