Team,City,Stadium,Capacity,Field
Alianza Atlético,Sullana,Campeones del 36,"8,000",Grass
Alianza Lima,Lima,Alejandro Villanueva,"35,000",Grass
Carlos A. Mannucci,Trujillo,Mansiche,"24,000",Grass
Cienciano,Cuzco,Garcilaso,"42,056",Grass
CNI,Iquitos,Max Augustín,"24,000",Grass
Defensor Lima,Lima,Nacional,"45,750",Grass
Deportivo Municipal,Lima,Nacional,"45,750",Grass
Hijos de Yurimaguas,Callao,Miguel Grau,"15,000",Grass
León de Huánuco,Huánuco,Heraclio Tapia,"15,000",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
San Agustín,Lima,Nacional,"45,750",Grass
Sport Boys,Callao,Miguel Grau,"15,000",Grass
Sporting Cristal,Lima,San Martín de Porres,"18,000",Grass
Unión Minas,Cerro de Pasco,Daniel Alcides Carrión,"8,000",Grass
UTC,Cajamarca,Héroes de San Ramón,"18,000",Grass
Universitario,Lima,Nacional,"45,750",Grass
