Round,Pick,Player,Team,Position
2,25,Bill Buckner,Los Angeles Dodgers,First Baseman
2,33,Milt Wilcox,Cincinnati Reds,Pitcher
5,85,Burt Hooton *,New York Mets,Pitcher
6,128,Cecil Cooper,Boston Red Sox,First Baseman
8,161,Joe Ferguson,Los Angeles Dodgers,Outfielder
8,174,Ross Grimsley *,Detroit Tigers,Pitcher
8,180,Tom Kelly,Seattle Pilots,Outfielder
9,185,Doyle Alexander,Los Angeles Dodgers,Pitcher
11,237,Milt May,Pittsburgh Pirates,Shortstop
11,238,Al Bumbry,Baltimore Orioles,Outfielder
11,248,Ben Oglivie,Boston Red Sox,Infield-Outfielder
12,256,Duane Kuiper *,New York Yankees,Shortstop
14,301,John Milner,New York Mets,Outfielder
14,309,Bruce Kison,Pittsburgh Pirates,Pitcher
16,354,Steve Stone *,Cleveland Indians,Pitcher
16,363,Oscar Gamble,Chicago Cubs,Outfielder
18,399,Ken Forsch,Houston Astros,Pitcher
18,402,John Lowenstein,Cleveland Indians,Shortstop
22,507,Bill Lee,Boston Red Sox,Pitcher
23,528,Craig Swan *,St. Louis Cardinals,Pitcher
