Venue,Location,Sports,Capacity,Status
Omnilife Stadium,Guadalajara,Football Ceremonies,"49,850 51,000",Existing
Scotiabank Aquatics Center,Zapopan,Diving Swimming Synchronized swimming Water polo,"4,656",New
Pan American Archery Stadium,Guadalajara,Archery,940,New
Estadio Telmex de Atletismo,Guadalajara,Athletics,"15,000",New
Multipurpose Gymnasium,Guadalajara,Badminton Fencing,856,New
CODE Dome,Guadalajara,Basketball Table tennis,"3,528",Renovated
Basque Pelota Complex,Guadalajara,Basque pelota,"1,686",New
Tapatío Bowling Alley,Guadalajara,Bowling,281,Existing
CODE San Nicolás,Guadalajara,Cycling ( BMX ),991,Existing
Pan American Marathon Circuit,Guadalajara,Athletics ( walks and marathons ),-,Temporary
Pan American Cycling Route,Guadalajara,Cycling ( road ),-,Temporary
Pan American Velodrome,Guadalajara,Cycling ( track ),"1,984",New
Guadalajara Country Club,Guadalajara,Equestrian,"2,500",Renovated
Santa Sofia Golf Club,Guadalajara,Equestrian ( eventing ),"35,000",Existing
Hipica Club,Guadalajara,Equestrian ( dressage/jumping ) Modern pentathlon,"2,500",New
Tlaquepaque Stadium,Tlaquepaque,Rugby sevens,"1,156",Existing
Nissan Gymnastics Stadium,Guadalajara,Gymnastics,"3,434",New
San Rafael Gymnasium,Guadalajara,Handball,"2,822",New
Pan American Hockey Stadium,Guadalajara,Field hockey,"1,870",New
CODE II Gymnasium,Guadalajara,Judo Taekwondo Wrestling,"2,229",New
